train/n_updates,train/ent_coef,train/actor_loss,time/fps,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/ep_rew_mean
57398,0.0028385433834046125,-354.3209533691406,98,292,0.06380350142717361,150.0,192,28800,394.03711335
58598,0.002645369153469801,-351.99560546875,98,298,0.061985284090042114,150.0,196,29400,396.57626995000004
59798,0.0025228799786418676,-349.7005920410156,98,304,0.05853690952062607,150.0,200,30000,398.43066646999995
60998,0.0023859329521656036,-347.62078857421875,98,310,0.05980898067355156,150.0,204,30600,400.585317
62198,0.002306731417775154,-345.53326416015625,98,316,0.053577616810798645,150.0,208,31200,403.0180941899999
63398,0.002353765768930316,-344.02764892578125,98,322,0.055955227464437485,150.0,212,31800,404.4127386100001
64598,0.002354638185352087,-342.25146484375,98,328,0.060136958956718445,150.0,216,32400,406.54900037
65798,0.0023724178317934275,-340.6280517578125,98,333,0.0637238547205925,150.0,220,33000,408.19890432
66998,0.0022811468224972486,-339.53973388671875,98,339,0.058303102850914,150.0,224,33600,410.1715595
68198,0.0022684892173856497,-338.01025390625,99,345,0.05638733133673668,150.0,228,34200,411.76942952999997
69398,0.0022448934614658356,-336.9429931640625,99,351,0.054548799991607666,150.0,232,34800,413.48385519999994
70598,0.0022920751944184303,-335.4740295410156,99,357,0.05277964472770691,150.0,236,35400,415.03565196000005
71798,0.0023796064779162407,-334.4236145019531,99,362,0.062272075563669205,150.0,240,36000,416.2671195499999
72998,0.002355295931920409,-333.46923828125,99,368,0.06597595661878586,150.0,244,36600,417.94290337999996
74198,0.002375155920162797,-332.29290771484375,99,374,0.06154681742191315,150.0,248,37200,419.1116499699999
75398,0.002318192506209016,-331.5848388671875,99,380,0.05909891054034233,150.0,252,37800,420.01816847999993
76598,0.00240530539304018,-330.59698486328125,99,386,0.06082657724618912,150.0,256,38400,420.99842380000007
77798,0.002317683072760701,-329.484375,99,391,0.059447966516017914,150.0,260,39000,421.85213045000006
78998,0.002391980728134513,-328.65093994140625,99,397,0.061372071504592896,150.0,264,39600,423.16243808
80198,0.0024398211389780045,-328.0524597167969,99,403,0.061581701040267944,150.0,268,40200,424.45994176
81398,0.0024737680796533823,-327.6436767578125,99,409,0.06557207554578781,150.0,272,40800,425.27624689000004
82598,0.0023362496867775917,-326.80401611328125,99,415,0.059939827769994736,150.0,276,41400,426.12762853
83798,0.002377390395849943,-326.263916015625,99,421,0.0636320561170578,150.0,280,42000,426.03180624
84998,0.0024160807952284813,-325.81829833984375,99,427,0.058988649398088455,150.0,284,42600,426.67864224000004
86198,0.002355904784053564,-325.17840576171875,99,433,0.05876567214727402,150.0,288,43200,427.40668483
87398,0.0024012885987758636,-324.7637939453125,99,439,0.06617724895477295,150.0,292,43800,428.0120221399999
88598,0.002382617676630616,-324.08447265625,99,445,0.0608907975256443,150.0,296,44400,428.76246828999996
89798,0.002345966175198555,-323.7817687988281,99,451,0.05835698917508125,150.0,300,45000,429.37024123
90998,0.002383539220318198,-323.4407958984375,99,457,0.05943789333105087,150.0,304,45600,429.82312697000003
92198,0.0024264496751129627,-322.8043518066406,99,463,0.0636250227689743,150.0,308,46200,430.46659956
93398,0.002434409223496914,-322.6911315917969,99,469,0.06357074528932571,150.0,312,46800,430.9245059700001
94598,0.0023761754855513573,-322.4375915527344,99,475,0.056394774466753006,150.0,316,47400,431.50026052
95798,0.0024607761297374964,-322.16290283203125,99,480,0.06546662747859955,150.0,320,48000,432.5557070400001
96998,0.002389969304203987,-321.8752746582031,99,486,0.06203233450651169,150.0,324,48600,433.40938596
98198,0.0023578177206218243,-321.91546630859375,99,492,0.05660080909729004,150.0,328,49200,433.52447134999994
99398,0.0023388543631881475,-321.5628356933594,99,498,0.06391497701406479,150.0,332,49800,434.10516915999995
100598,0.002405780367553234,-321.5058288574219,99,504,0.06131666153669357,150.0,336,50400,434.89442463
101798,0.0024290834553539753,-321.3583068847656,99,510,0.06031658872961998,150.0,340,51000,435.97277123999993
102998,0.0024678371846675873,-321.10125732421875,99,516,0.06233654171228409,150.0,344,51600,436.22269393999994
104198,0.0023785175289958715,-320.859375,99,522,0.0659283846616745,150.0,348,52200,437.15353052
105398,0.0024341121315956116,-320.62811279296875,99,528,0.06383693963289261,150.0,352,52800,437.66163760999996
106598,0.0024042699951678514,-320.5081787109375,99,534,0.060482870787382126,150.0,356,53400,438.33505567
107798,0.0023625297471880913,-320.383056640625,99,540,0.06043950840830803,150.0,360,54000,438.41971280000007
