time/episodes,time/time_elapsed,train/n_updates,time/fps,train/critic_loss,train/actor_loss,rollout/ep_len_mean,rollout/ep_cost_mean,time/total_timesteps,train/ent_coef,train/safe_critic_loss,rollout/ep_rew_mean,train/lag_coef
4,58,4542,40,0.3620494604110718,337.551025390625,593.0,196.5,2372,0.546695351600647,0.35698676109313965,-78.74823825,1.948159098625183
8,104,9286,45,0.9462671875953674,1806.240234375,593.0,153.375,4744,0.3220145106315613,1.0421884059906006,-271.6718505,4.921859264373779
12,150,14030,47,0.7937048673629761,1437.5888671875,593.0,161.5,7116,0.19730114936828613,0.8328964710235596,-456.7169585,5.0
16,195,18774,48,0.6959888935089111,847.421875,593.0,157.625,9488,0.1223469153046608,0.6901890635490417,-704.62907,5.0
20,240,23518,49,0.4040635824203491,268.088623046875,593.0,146.75,11860,0.07536868751049042,0.3343176543712616,-953.9125236,5.0
24,286,28262,49,0.25242412090301514,-158.33412170410156,593.0,139.0,14232,0.045244257897138596,0.2679078280925751,-1133.204448125,5.0
28,332,33006,49,0.5668157339096069,-523.6209716796875,593.0,129.92857142857142,16604,0.028690215200185776,0.6404188275337219,-1266.7456641428573,5.0
32,377,37750,50,0.9847341179847717,-854.2821044921875,593.0,122.3125,18976,0.019990192726254463,0.637613832950592,-1372.65810709375,5.0
36,422,42494,50,1.006048321723938,-1116.3758544921875,593.0,118.05555555555556,21348,0.016027182340621948,0.1584034413099289,-1456.5512270000002,5.0
40,468,47238,50,0.8477819561958313,-1314.6053466796875,593.0,113.025,23720,0.014844569377601147,0.08885081857442856,-1532.587069525,5.0
44,513,51982,50,0.8314148783683777,-1484.40478515625,593.0,108.97727272727273,26092,0.01511329971253872,0.07802870124578476,-1594.8646313636366,5.0
48,558,56726,50,0.741104245185852,-1616.9937744140625,593.0,105.58333333333333,28464,0.01485887449234724,0.06667465716600418,-1649.9041164583334,5.0
52,603,61470,51,0.6051406860351562,-1726.1339111328125,593.0,101.57692307692308,30836,0.015140391886234283,0.06114789471030235,-1702.6280730961541,5.0
56,649,66214,51,0.4163554012775421,-1809.1358642578125,593.0,98.33928571428571,33208,0.014438943937420845,0.04888081178069115,-1752.7131028392857,5.0
60,694,70958,51,0.2871799170970917,-1873.50341796875,593.0,95.35,35580,0.014152507297694683,0.05048549547791481,-1797.7445571,5.0
64,739,75702,51,0.24322791397571564,-1921.1910400390625,593.0,92.046875,37952,0.014136495999991894,0.04836157709360123,-1838.5764387499999,5.0
68,785,80446,51,0.2018093466758728,-1959.57666015625,593.0,90.25,40324,0.013602210208773613,0.042426466941833496,-1873.6059945588233,5.0
72,830,85190,51,0.1639619618654251,-1989.730712890625,593.0,88.54166666666667,42696,0.013866038993000984,0.04915522411465645,-1903.2032115555558,5.0
76,876,89934,51,0.15618911385536194,-2013.6707763671875,593.0,87.11842105263158,45068,0.01351183746010065,0.04473023861646652,-1931.5746028947374,5.0
80,921,94678,51,0.15346252918243408,-2029.893310546875,593.0,85.5375,47440,0.012922215275466442,0.048807308077812195,-1956.0241962,5.0
84,967,99422,51,0.15287059545516968,-2041.503173828125,593.0,84.26190476190476,49812,0.013134011998772621,0.049183912575244904,-1980.7806080476194,5.0
88,1012,104166,51,0.130496084690094,-2050.84521484375,593.0,82.76136363636364,52184,0.012496680952608585,0.04109910503029823,-2004.2928932613636,5.0
92,1058,108910,51,0.12259021401405334,-2053.357666015625,593.0,81.5,54556,0.012410948053002357,0.04434208944439888,-2025.3249305652178,5.0
96,1103,113654,51,0.11992181092500687,-2057.771240234375,593.0,80.39583333333333,56928,0.012474711053073406,0.04349854215979576,-2045.0011602812501,5.0
100,1148,118398,51,0.09829320013523102,-2062.972900390625,593.0,78.98,59300,0.012402115389704704,0.04378213733434677,-2063.31982163,5.0
104,1193,123142,51,0.09256881475448608,-2065.24267578125,593.0,73.02,61672,0.011896966956555843,0.03074677847325802,-2161.5795009999997,5.0
108,1238,127886,51,0.10800357908010483,-2066.5224609375,593.0,70.41,64044,0.011884509585797787,0.04434661567211151,-2244.7458996,5.0
112,1283,132630,51,0.10683730244636536,-2068.951416015625,593.0,65.19,66416,0.01206169743090868,0.04312499985098839,-2314.0021140100002,5.0
116,1329,137374,51,0.10054468363523483,-2071.24462890625,593.0,61.25,68788,0.011607827618718147,0.04017626494169235,-2357.88893742,5.0
120,1374,142118,51,0.09858013689517975,-2072.912353515625,593.0,58.96,71160,0.012053200043737888,0.04357809200882912,-2382.0812328699994,5.0
124,1419,146862,51,0.09985911101102829,-2073.29833984375,593.0,56.59,73532,0.011638698168098927,0.04055390879511833,-2403.17792968,5.0
128,1465,151606,51,0.08872441947460175,-2074.859619140625,593.0,55.53,75904,0.011500153690576553,0.03397548571228981,-2422.22822703,5.0
132,1510,156350,51,0.09363864362239838,-2077.063720703125,593.0,54.65,78276,0.011651407927274704,0.03204480558633804,-2439.7449872,5.0
136,1556,161094,51,0.09964775294065475,-2079.50244140625,593.0,53.04,80648,0.011534790508449078,0.033866751939058304,-2457.72385285,5.0
140,1601,165838,51,0.10570872575044632,-2080.7255859375,593.0,52.03,83020,0.011299865320324898,0.03711433336138725,-2472.5683754700003,5.0
144,1646,170582,51,0.09481970220804214,-2083.5869140625,593.0,51.59,85392,0.011262613348662853,0.03363462910056114,-2487.47110295,5.0
148,1692,175326,51,0.10303249210119247,-2084.80517578125,593.0,50.72,87764,0.011228981427848339,0.03736097738146782,-2501.7276389900003,5.0
152,1737,180070,51,0.10759897530078888,-2087.458251953125,593.0,50.59,90136,0.011444136500358582,0.038634609431028366,-2512.63130031,5.0
156,1783,184814,51,0.0958215743303299,-2090.231201171875,593.0,50.67,92508,0.011342674493789673,0.03896476328372955,-2520.7072861799998,5.0
160,1828,189558,51,0.12682224810123444,-2091.70068359375,593.0,50.47,94880,0.011049004271626472,0.03548024594783783,-2527.73452019,5.0
164,1874,194302,51,0.11650428175926208,-2095.214111328125,593.0,50.72,97252,0.011359106749296188,0.03957712650299072,-2533.8607203300003,5.0
168,1919,199046,51,0.10282701253890991,-2096.57177734375,593.0,50.6,99624,0.011179935187101364,0.04280354082584381,-2540.6891577200004,5.0
172,1965,203790,51,0.10425688326358795,-2099.50537109375,593.0,50.06,101996,0.01138942502439022,0.03803927078843117,-2549.4171743999996,5.0
176,2010,208534,51,0.10464046895503998,-2100.79638671875,593.0,49.67,104368,0.011276289820671082,0.031498320400714874,-2556.5304128899998,5.0
180,2055,213278,51,0.107060506939888,-2102.108642578125,593.0,49.49,106740,0.010979070328176022,0.03886343911290169,-2564.2414006999998,5.0
184,2101,218022,51,0.12449707090854645,-2103.849609375,593.0,48.87,109112,0.011390951462090015,0.03637712076306343,-2569.7916241999997,5.0
188,2146,222766,51,0.11586614698171616,-2105.46875,593.0,49.15,111484,0.01110384427011013,0.032496076077222824,-2575.0315998,5.0
192,2192,227510,51,0.10853986442089081,-2105.3916015625,593.0,49.11,113856,0.011169134639203548,0.032167062163352966,-2580.92529407,5.0
196,2237,232254,51,0.1040022224187851,-2107.78515625,593.0,48.79,116228,0.011153497733175755,0.03967069834470749,-2585.4219272499995,5.0
200,2283,236998,51,0.12273554503917694,-2112.2392578125,593.0,48.9,118600,0.011198031716048717,0.03805280849337578,-2590.19694265,5.0
204,2328,241742,51,0.09095529466867447,-2112.568603515625,593.0,48.84,120972,0.011076942086219788,0.03625304251909256,-2594.7802848200004,5.0
208,2374,246486,51,0.08670970052480698,-2114.08447265625,593.0,49.64,123344,0.010937773622572422,0.033054690808057785,-2596.22838073,5.0
212,2419,251230,51,0.08663638681173325,-2113.135986328125,593.0,49.38,125716,0.010602072812616825,0.03772522136569023,-2600.21186473,5.0
216,2464,255974,51,0.08838319033384323,-2113.1962890625,593.0,49.16,128088,0.010737798176705837,0.02954682521522045,-2604.73594452,5.0
220,2510,260718,51,0.08091230690479279,-2112.7109375,593.0,49.34,130460,0.010619898326694965,0.03187436982989311,-2608.9430394700003,5.0
224,2555,265462,51,0.09331807494163513,-2110.40234375,593.0,49.51,132832,0.010549662634730339,0.03285025432705879,-2612.98054941,5.0
228,2600,270206,51,0.08258455246686935,-2110.94873046875,593.0,49.51,135204,0.010584176518023014,0.0364944152534008,-2617.8650914600003,5.0
232,2646,274950,51,0.10386378318071365,-2113.60546875,593.0,49.46,137576,0.010604338720440865,0.032533910125494,-2622.3206738599997,5.0
236,2691,279694,51,0.12981979548931122,-2112.673583984375,593.0,49.84,139948,0.011138170026242733,0.03067726269364357,-2624.77984467,5.0
240,2737,284438,51,0.7864766716957092,-2153.748046875,593.0,54.54,142320,0.014191919006407261,0.041187040507793427,-2616.27815815,5.0
244,2782,289182,52,0.4306013882160187,-2149.1416015625,593.0,53.89,144692,0.01042416412383318,0.036549560725688934,-2617.37309488,5.0
248,2827,293926,52,0.5052263140678406,-2147.442138671875,593.0,53.91,147064,0.010469700209796429,0.04118721932172775,-2618.3496433400005,5.0
252,2873,298670,52,0.7425376176834106,-2153.63916015625,593.0,54.54,149436,0.010933768935501575,0.03299875929951668,-2617.83787408,5.0
256,2919,303414,52,0.3771764039993286,-2153.6083984375,593.0,54.45,151808,0.010474408976733685,0.03531539812684059,-2619.23688224,5.0
260,2964,308158,52,0.3511049151420593,-2147.347412109375,593.0,54.25,154180,0.010241419076919556,0.03243009373545647,-2621.6171402200002,5.0
264,3010,312902,52,0.2080995738506317,-2141.3642578125,593.0,54.13,156552,0.010211512446403503,0.035073958337306976,-2624.4474543300003,5.0
268,3055,317646,52,0.14841824769973755,-2138.03369140625,593.0,53.27,158924,0.00996260903775692,0.0328049473464489,-2627.61919127,5.0
272,3100,322390,52,0.12874172627925873,-2132.59326171875,593.0,53.16,161296,0.009923147968947887,0.0292446780949831,-2629.6701644500004,5.0
276,3145,327134,52,0.12712150812149048,-2129.57666015625,593.0,52.68,163668,0.009959830902516842,0.03286975994706154,-2631.97416719,5.0
280,3190,331878,52,0.10210639238357544,-2125.271240234375,593.0,52.3,166040,0.010006634518504143,0.03425263613462448,-2634.6307320600004,5.0
284,3235,336622,52,0.11209844052791595,-2122.91064453125,593.0,52.23,168412,0.010071820579469204,0.027938583865761757,-2637.2111445200003,5.0
288,3280,341366,52,0.10080350190401077,-2120.333740234375,593.0,51.78,170784,0.010224370285868645,0.033926937729120255,-2639.16116163,5.0
292,3326,346110,52,0.09857766330242157,-2120.538330078125,593.0,51.57,173156,0.010102950967848301,0.026418792083859444,-2641.4857495300002,5.0
296,3371,350854,52,0.08760105073451996,-2118.23974609375,593.0,51.23,175528,0.010092607699334621,0.03288169205188751,-2644.80392666,5.0
300,3416,355598,52,0.0980348289012909,-2116.505859375,593.0,51.01,177900,0.010066913440823555,0.03204875439405441,-2647.80751458,5.0
304,3462,360342,52,0.09625416994094849,-2117.4375,593.0,50.83,180272,0.010087791830301285,0.03623201698064804,-2649.4594240600004,5.0
308,3507,365086,52,0.11422599852085114,-2118.0546875,593.0,49.98,182644,0.01024861540645361,0.03380190581083298,-2653.8827348499995,5.0
312,3553,369830,52,0.09816141426563263,-2119.15087890625,593.0,50.17,185016,0.010337880812585354,0.02991510182619095,-2655.60473507,5.0
316,3597,374574,52,0.07987547665834427,-2119.54345703125,593.0,50.51,187388,0.010294145904481411,0.025129614397883415,-2657.24225216,5.0
320,3642,379318,52,0.16749440133571625,-2124.731201171875,593.0,50.48,189760,0.010315760970115662,0.029253477230668068,-2658.4344728499996,5.0
324,3687,384062,52,0.12021034955978394,-2125.790283203125,593.0,50.33,192132,0.01043413020670414,0.028259344398975372,-2660.3513321200007,5.0
328,3732,388806,52,0.17256854474544525,-2129.08837890625,593.0,49.96,194504,0.010496583767235279,0.03503182530403137,-2661.92699976,5.0
332,3778,393550,52,0.11128813773393631,-2129.3095703125,593.0,49.86,196876,0.010339571163058281,0.02866297960281372,-2663.80075786,5.0
336,3823,398294,52,0.10118114203214645,-2129.296630859375,593.0,49.27,199248,0.010297425091266632,0.024345939978957176,-2667.1654715500003,5.0
340,3868,403038,52,0.09856226295232773,-2128.328125,593.0,44.49,201620,0.010299374349415302,0.03560059517621994,-2681.1072542,5.0
344,3913,407782,52,0.09763099253177643,-2130.49951171875,593.0,44.6,203992,0.010542360134422779,0.036391641944646835,-2684.99465578,5.0
348,3958,412526,52,0.10422835499048233,-2132.65234375,593.0,44.58,206364,0.010633275844156742,0.032349418848752975,-2688.2621150699997,5.0
352,4003,417270,52,0.11366070806980133,-2134.59228515625,593.0,43.58,208736,0.010749991983175278,0.0355011485517025,-2693.03583819,5.0
356,4048,422014,52,0.09542211890220642,-2134.6015625,593.0,43.31,211108,0.010494386777281761,0.030431462451815605,-2695.97025683,5.0
360,4094,426758,52,0.08473310619592667,-2135.943359375,593.0,43.59,213480,0.010837895795702934,0.03358357399702072,-2698.5409480999997,5.0
364,4139,431502,52,0.15759599208831787,-2141.34326171875,593.0,43.8,215852,0.01112119760364294,0.031121939420700073,-2700.4788224900008,5.0
368,4184,436246,52,0.31035134196281433,-2145.408203125,593.0,44.33,218224,0.012029435485601425,0.03364662081003189,-2701.7103906299994,5.0
372,4230,440990,52,0.32056179642677307,-2148.850341796875,593.0,45.33,220596,0.010699879378080368,0.02778966911137104,-2700.2814340400005,5.0
376,4275,445734,52,0.22540540993213654,-2146.8193359375,593.0,46.03,222968,0.01023139338940382,0.02849484793841839,-2701.6093803900003,5.0
380,4321,450478,52,0.18267878890037537,-2147.118408203125,593.0,46.12,225340,0.010315829887986183,0.02789776772260666,-2703.8551356900007,5.0
384,4366,455222,52,0.09251179546117783,-2148.87744140625,593.0,46.2,227712,0.01058384869247675,0.031641699373722076,-2706.22696481,5.0
388,4412,459966,52,0.09126932173967361,-2149.915771484375,593.0,46.1,230084,0.010553400032222271,0.0296002309769392,-2709.1029151800003,5.0
392,4457,464710,52,0.08288092911243439,-2149.89501953125,593.0,45.89,232456,0.010360891930758953,0.03161349520087242,-2711.40855907,5.0
396,4502,469454,52,0.07637623697519302,-2150.183837890625,593.0,46.17,234828,0.010354999452829361,0.032388921827077866,-2713.6931841,5.0
400,4548,474198,52,0.07483518123626709,-2150.71923828125,593.0,46.2,237200,0.010369733907282352,0.03088437393307686,-2715.8328699299996,5.0
404,4593,478942,52,0.09471552819013596,-2149.62939453125,593.0,46.44,239572,0.01039805170148611,0.0282080490142107,-2718.15985065,5.0
408,4638,483686,52,0.07518860697746277,-2150.275390625,593.0,46.42,241944,0.010346584022045135,0.027003606781363487,-2720.51905008,5.0
412,4683,488430,52,0.0828365609049797,-2149.60009765625,593.0,46.29,244316,0.010334942489862442,0.028260670602321625,-2722.405311310001,5.0
416,4728,493174,52,0.07665763050317764,-2149.75830078125,593.0,46.02,246688,0.010577228851616383,0.02810821682214737,-2724.43039352,5.0
420,4773,497918,52,0.07475384324789047,-2150.772216796875,593.0,45.88,249060,0.010481059551239014,0.022781595587730408,-2726.715960010001,5.0
424,4819,502662,52,0.07419126480817795,-2150.251953125,593.0,45.96,251432,0.010339176282286644,0.02661682479083538,-2728.51473965,5.0
428,4864,507406,52,0.09054560214281082,-2149.58349609375,593.0,46.0,253804,0.010527591221034527,0.031009575352072716,-2730.31470728,5.0
432,4909,512150,52,0.08357564359903336,-2150.60009765625,593.0,45.94,256176,0.01055197138339281,0.022982584312558174,-2732.0569775,5.0
436,4954,516894,52,0.08084838837385178,-2151.531494140625,593.0,45.97,258548,0.010628900490701199,0.027386769652366638,-2733.4157406300005,5.0
440,5000,521638,52,0.07527969032526016,-2152.760986328125,593.0,46.34,260920,0.010772996582090855,0.028080452233552933,-2734.8666541899997,5.0
444,5045,526382,52,0.09146511554718018,-2154.72314453125,593.0,46.39,263292,0.01079506240785122,0.02712910808622837,-2736.3575744400005,5.0
448,5090,531126,52,0.09058886021375656,-2156.01611328125,593.0,46.37,265664,0.010568628087639809,0.031036948785185814,-2737.6578414199994,5.0
452,5136,535870,52,0.07411888241767883,-2157.44873046875,593.0,46.5,268036,0.010791197419166565,0.028392566367983818,-2739.4313647999998,5.0
456,5181,540614,52,0.09580905735492706,-2158.510986328125,593.0,46.44,270408,0.010858374647796154,0.029174331575632095,-2741.3699508299997,5.0
460,5226,545358,52,0.08441421389579773,-2160.13671875,593.0,46.44,272780,0.010670318268239498,0.027558673173189163,-2742.6563136599993,5.0
464,5271,550102,52,0.07691885530948639,-2159.82666015625,593.0,46.23,275152,0.010693698190152645,0.030041206628084183,-2744.22201444,5.0
468,5317,554846,52,0.09152639657258987,-2161.92138671875,593.0,45.91,277524,0.01090350840240717,0.02380569465458393,-2746.3958910300003,5.0
472,5362,559590,52,0.09370943903923035,-2161.8720703125,593.0,45.2,279896,0.010873016901314259,0.02934185601770878,-2751.6987172500008,5.0
476,5407,564334,52,0.0834478810429573,-2164.152587890625,593.0,45.11,282268,0.010870533064007759,0.027247462421655655,-2754.13734118,5.0
480,5452,569078,52,0.08188676834106445,-2165.908935546875,593.0,45.36,284640,0.010733499191701412,0.028943365439772606,-2755.74635616,5.0
484,5498,573822,52,0.07970569282770157,-2165.202880859375,593.0,45.4,287012,0.01087188720703125,0.03135097771883011,-2757.2361733199996,5.0
488,5543,578566,52,0.08348937332630157,-2167.90283203125,593.0,45.26,289384,0.010808710940182209,0.0247185081243515,-2758.178055380001,5.0
492,5588,583310,52,0.09099777787923813,-2166.06689453125,593.0,45.36,291756,0.01086843479424715,0.032916367053985596,-2758.9536741199995,5.0
496,5634,588054,52,0.08347688615322113,-2167.414306640625,593.0,45.17,294128,0.010606390424072742,0.029975928366184235,-2759.8944226599997,5.0
500,5679,592798,52,0.09141035377979279,-2165.727294921875,593.0,45.03,296500,0.010675112716853619,0.027801726013422012,-2760.6432542500006,5.0
504,5724,597542,52,0.08328074216842651,-2168.38525390625,593.0,44.58,298872,0.011041535995900631,0.02839125320315361,-2761.45795931,5.0
508,5769,602286,52,0.09511613845825195,-2172.033203125,593.0,45.28,301244,0.011032972484827042,0.02794392593204975,-2759.59429396,5.0
512,5815,607030,52,0.0933564305305481,-2173.29052734375,593.0,45.28,303616,0.01104681845754385,0.033848922699689865,-2760.33506126,5.0
516,5860,611774,52,0.0891643539071083,-2175.40478515625,593.0,45.27,305988,0.010975447483360767,0.03353481739759445,-2760.6104690999996,5.0
520,5906,616518,52,0.08281300961971283,-2175.75146484375,593.0,45.41,308360,0.010846964083611965,0.02973022125661373,-2760.7861250999995,5.0
524,5951,621262,52,0.0775347352027893,-2175.849853515625,593.0,45.11,310732,0.010962465777993202,0.030251534655690193,-2761.1582538899993,5.0
528,5996,626006,52,0.08046030253171921,-2175.30224609375,593.0,45.11,313104,0.010846876539289951,0.030682820826768875,-2761.7283744799997,5.0
532,6042,630750,52,0.07304098457098007,-2176.66357421875,593.0,45.03,315476,0.010952763259410858,0.027500130236148834,-2762.2590174999996,5.0
536,6087,635494,52,0.06726305186748505,-2179.32373046875,593.0,44.94,317848,0.010834950953722,0.026937177404761314,-2763.1169749299997,5.0
540,6133,640238,52,0.07965356111526489,-2177.47509765625,593.0,44.41,320220,0.010797671973705292,0.03205756098031998,-2764.1147263700004,5.0
544,6178,644982,52,0.07284746319055557,-2178.2509765625,593.0,44.23,322592,0.0108262337744236,0.026056921109557152,-2765.52435845,5.0
