time/total_timesteps,train/safe_critic_loss,train/n_updates,train/actor_loss,time/episodes,rollout/ep_len_mean,rollout/ep_cost_mean,train/ent_coef,train/critic_loss,train/lag_coef,rollout/ep_rew_mean,time/fps,time/time_elapsed
24648,0.06384918093681335,49094,-1482.7239990234375,156,158.0,19.57,0.012107855640351772,0.10631494224071503,5.0,-614.68078961,51,481
25280,0.0543789304792881,50358,-1518.642578125,160,158.0,19.9,0.012030272744596004,0.10402528941631317,5.0,-617.92603913,51,493
25912,0.05504880100488663,51622,-1554.662353515625,164,158.0,20.18,0.011844940483570099,0.10067491978406906,5.0,-620.8828179300001,51,505
26544,0.04639927297830582,52886,-1588.940185546875,168,158.0,19.97,0.011950399726629257,0.09175483882427216,5.0,-624.9031822600001,51,517
27176,0.03967946022748947,54150,-1619.8519287109375,172,158.0,19.87,0.011726140044629574,0.0781138688325882,5.0,-627.99404198,51,529
27808,0.041721161454916,55414,-1647.4229736328125,176,158.0,19.84,0.011407633312046528,0.08744832873344421,5.0,-630.84154155,51,541
28440,0.04795354604721069,56678,-1674.8480224609375,180,158.0,19.32,0.011361008509993553,0.09070301055908203,5.0,-633.32214263,51,553
29072,0.037430062890052795,57942,-1701.2685546875,184,158.0,18.73,0.011384663172066212,0.08332938700914383,5.0,-636.6969774800001,51,565
29704,0.03992074728012085,59206,-1725.981689453125,188,158.0,17.88,0.011560020036995411,0.08982846140861511,5.0,-639.9865311100001,51,577
30336,0.041915636509656906,60470,-1748.068603515625,192,158.0,17.7,0.011543643660843372,0.08774445950984955,5.0,-643.2854571,51,589
30968,0.04238895699381828,61734,-1767.974853515625,196,158.0,17.52,0.011392873711884022,0.09015874564647675,5.0,-646.50554183,51,600
31600,0.03923279047012329,62998,-1787.396484375,200,158.0,17.22,0.011441255919635296,0.0837484747171402,5.0,-649.26702472,51,612
32232,0.03692309930920601,64262,-1807.2822265625,204,158.0,17.2,0.011538850143551826,0.08758082240819931,5.0,-651.91412435,51,624
32864,0.033259451389312744,65526,-1824.64697265625,208,158.0,16.85,0.011542427353560925,0.07582133263349533,5.0,-654.1553341499999,51,636
33496,0.0339801162481308,66790,-1841.2579345703125,212,158.0,16.5,0.011513843201100826,0.07485827058553696,5.0,-656.71465677,51,648
34128,0.03086164779961109,68054,-1856.2216796875,216,158.0,16.64,0.011479657143354416,0.07405175268650055,5.0,-659.0658645199999,51,660
34760,0.03273961693048477,69318,-1870.234619140625,220,158.0,16.73,0.01110946387052536,0.07181160897016525,5.0,-661.42641632,51,672
35392,0.0369073823094368,70582,-1882.492919921875,224,158.0,16.67,0.011215667240321636,0.07518433034420013,5.0,-663.58381366,51,684
36024,0.034105073660612106,71846,-1894.87109375,228,158.0,16.57,0.01107072178274393,0.0747881680727005,5.0,-666.00907314,51,696
36656,0.0357670858502388,73110,-1906.6641845703125,232,158.0,16.49,0.011424943804740906,0.0814703032374382,5.0,-667.7635420700001,51,708
37288,0.03680313378572464,74374,-1919.635986328125,236,158.0,16.7,0.012103087268769741,0.11127547174692154,5.0,-669.6088215100001,51,720
37920,0.033648014068603516,75638,-1931.22412109375,240,158.0,16.63,0.011945364065468311,0.09674965590238571,5.0,-670.9913603800001,51,732
38552,0.034242257475852966,76902,-1941.273681640625,244,158.0,16.44,0.011726542375981808,0.08112380653619766,5.0,-672.69609114,51,744
39184,0.03142879530787468,78166,-1951.22216796875,248,158.0,16.58,0.011857576668262482,0.08823970705270767,5.0,-673.852112,51,756
39816,0.035270918160676956,79430,-1960.9287109375,252,158.0,16.63,0.011735884472727776,0.07120654731988907,5.0,-675.2244398899999,51,768
40448,0.03184150904417038,80694,-1969.69482421875,256,158.0,16.36,0.011516972444951534,0.06861170381307602,5.0,-676.6434807599998,51,780
41080,0.028862640261650085,81958,-1976.2833251953125,260,158.0,15.99,0.011098185554146767,0.06703020632266998,5.0,-677.35722856,51,791
41712,0.030975690111517906,83222,-1984.046142578125,264,158.0,15.97,0.010993916541337967,0.0687040239572525,5.0,-678.0340693700001,51,803
42344,0.029550470411777496,84486,-1990.31298828125,268,158.0,16.27,0.01108424924314022,0.06585374474525452,5.0,-678.0886232299999,51,815
42976,0.031361646950244904,85750,-1996.0732421875,272,158.0,16.63,0.01094101369380951,0.059203214943408966,5.0,-679.02148721,51,827
43608,0.030602894723415375,87014,-2001.04541015625,276,158.0,16.87,0.010836098343133926,0.06090244650840759,5.0,-680.0781342399999,51,839
44240,0.032073963433504105,88278,-2005.2548828125,280,158.0,16.93,0.011033530347049236,0.06152942404150963,5.0,-680.8996504000002,51,851
44872,0.035257574170827866,89542,-2010.740966796875,284,158.0,17.46,0.011204184964299202,0.0795198306441307,5.0,-681.3129075399999,51,863
45504,0.03098093532025814,90806,-2016.26806640625,288,158.0,17.87,0.011502720415592194,0.07369913160800934,5.0,-682.0202310100001,51,875
46136,0.029445873573422432,92070,-2021.830078125,292,158.0,18.0,0.011507311835885048,0.06602505594491959,5.0,-682.2228950100001,51,887
