train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,rollout/ep_len_mean,time/episodes
2009966,2123.70118925,96,54,5284,0.20865918695926666,-303.657470703125,0.00623429287225008,1321.0,4
2020534,2149.3488122500003,98,106,10568,0.3569468557834625,-287.4515686035156,0.00846491102129221,1321.0,8
2031102,2152.3075565000004,99,159,15852,0.42159175872802734,-290.34808349609375,0.009167675860226154,1321.0,12
2041670,2160.278700375,99,212,21136,0.6800917983055115,-292.7312316894531,0.009416131302714348,1321.0,16
2052238,2158.2666271999997,99,264,26420,0.6687617897987366,-292.191650390625,0.009380348026752472,1321.0,20
2062806,2164.320641125,99,317,31704,0.48082616925239563,-284.36138916015625,0.007113663945347071,1321.0,24
2073374,2176.4700968214283,100,369,36988,0.4670604467391968,-275.8181457519531,0.006279597524553537,1321.0,28
2083942,2191.52362684375,100,422,42272,0.3924392759799957,-267.547607421875,0.005225086584687233,1321.0,32
2094510,2207.832359027778,100,474,47556,0.3341437578201294,-258.52960205078125,0.00479852082207799,1321.0,36
2105078,2221.513790425,100,526,52840,0.3113153278827667,-250.72048950195312,0.004424035549163818,1321.0,40
2115646,2232.407817318182,100,578,58124,0.30328115820884705,-247.51527404785156,0.004097507335245609,1321.0,44
2126214,2241.8102049583335,100,630,63408,0.2674542963504791,-241.86782836914062,0.0035853490699082613,1321.0,48
2136782,2254.5215835,100,682,68692,0.19422368705272675,-236.7518310546875,0.003208225592970848,1321.0,52
2147350,2266.658968625,100,734,73976,0.20013926923274994,-230.6143798828125,0.003006852464750409,1321.0,56
2157918,2278.0431264999997,100,786,79260,0.17919696867465973,-230.96575927734375,0.0028608348220586777,1321.0,60
2168486,2290.374149375,100,837,84544,0.1505649983882904,-224.8983917236328,0.002600844483822584,1321.0,64
2179054,2301.534109852941,100,889,89828,0.12909898161888123,-222.15847778320312,0.002383135724812746,1321.0,68
2189622,2314.0840955416666,101,940,95112,0.1291409134864807,-220.00735473632812,0.0022597445640712976,1321.0,72
2200190,2326.1724451842106,101,993,100396,0.1125369444489479,-218.4189453125,0.002127148909494281,1321.0,76
2210758,2339.6212237374993,101,1045,105680,0.08335137367248535,-217.9164581298828,0.001960802124813199,1321.0,80
2221326,2351.982807190476,101,1097,110964,0.09930715709924698,-216.0009002685547,0.001973868813365698,1321.0,84
2231894,2364.078476988636,101,1150,116248,0.08138249814510345,-215.24502563476562,0.0019727207254618406,1321.0,88
2242462,2374.9348913913045,101,1202,121532,0.11209353804588318,-215.9822540283203,0.0019456922309473157,1321.0,92
2253030,2387.0835700104167,101,1254,126816,0.06957896798849106,-214.24423217773438,0.0019409431843087077,1321.0,96
2263598,2398.8269366299996,101,1306,132100,0.10854979604482651,-213.56109619140625,0.0018939853180199862,1321.0,100
2274166,2421.1823258199997,101,1359,137384,0.08321832865476608,-214.63436889648438,0.0018643684452399611,1321.0,104
2284734,2442.1944343699997,101,1412,142668,0.08457102626562119,-214.51925659179688,0.0018669901182875037,1321.0,108
2295302,2464.3606936799997,101,1464,147952,0.08190377056598663,-214.31890869140625,0.001808188739232719,1321.0,112
2305870,2486.5521780299996,101,1516,153236,0.07547511905431747,-215.10687255859375,0.0018363886047154665,1321.0,116
2316438,2509.8804035999997,101,1568,158520,0.08238232880830765,-215.1959991455078,0.0018175817094743252,1321.0,120
