train/n_updates,time/episodes,time/total_timesteps,time/fps,train/ent_coef,rollout/ep_len_mean,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss
6102,4,3152,76,0.4538685977458954,788.0,0.16063372790813446,41,184.89070325,-477.04559326171875
12406,8,6304,88,0.2216801792383194,788.0,0.047140318900346756,71,446.87802525,-614.666748046875
18710,12,9456,92,0.11021070927381516,788.0,0.02780822664499283,101,655.7024685,-599.487060546875
25014,16,12608,94,0.055075764656066895,788.0,0.030046865344047546,132,805.81840575,-533.6726684570312
31318,20,15760,96,0.0277479849755764,788.0,0.03657654672861099,163,908.57099305,-459.09210205078125
37622,24,18912,97,0.01421105582267046,788.0,0.03708760812878609,194,987.3831037083334,-394.3829345703125
43926,28,22064,97,0.007497478276491165,788.0,0.03777346387505531,225,1048.2820965357143,-345.0406494140625
50230,32,25216,98,0.0040820022113621235,788.0,0.029736686497926712,255,1097.98987234375,-308.99951171875
56534,36,28368,99,0.002301836386322975,788.0,0.020807083696126938,286,1140.5848894444446,-282.04559326171875
62838,40,31520,99,0.0014529605396091938,788.0,0.01960417814552784,316,1175.3803364,-262.401611328125
69142,44,34672,99,0.0011800449574366212,788.0,0.020145216956734657,347,1203.9962138863634,-248.87217712402344
75446,48,37824,100,0.0010807999642565846,788.0,0.02556563913822174,377,1228.5753707708334,-238.97608947753906
81750,52,40976,100,0.0010553163010627031,788.0,0.022876042872667313,408,1250.962960403846,-231.76589965820312
88054,56,44128,100,0.0010495486203581095,788.0,0.025681573897600174,439,1269.92653275,-226.25442504882812
94358,60,47280,100,0.0010238616960123181,788.0,0.02423514798283577,471,1286.2680879,-222.30685424804688
100662,64,50432,100,0.001019306480884552,788.0,0.031084906309843063,502,1302.0425490468751,-220.6094512939453
106966,68,53584,100,0.0009991200640797615,788.0,0.022134900093078613,533,1316.2767205588234,-220.80055236816406
113270,72,56736,100,0.0009915665723383427,788.0,0.021894089877605438,563,1329.78749375,-218.69232177734375
119574,76,59888,100,0.0009768079034984112,788.0,0.01822080835700035,594,1342.5450811710527,-219.98190307617188
125878,80,63040,100,0.0009698299691081047,788.0,0.015688402578234673,626,1354.8912593375,-219.732421875
132182,84,66192,100,0.001002571894787252,788.0,0.01683482527732849,657,1366.1477899047618,-218.57379150390625
138486,88,69344,100,0.0009960277238860726,788.0,0.01411972101777792,688,1376.8597302840908,-218.41983032226562
