time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,train/critic_loss,train/actor_loss
59888,0.001426440430805087,755,1542.5115551973684,919174,76,788.0,79,0.021196242421865463,-209.35601806640625
63040,0.0014240372693166137,786,1547.2383417624999,925478,80,788.0,80,0.019733542576432228,-210.38616943359375
66192,0.0013803498586639762,818,1551.7058150833332,931782,84,788.0,80,0.013796824961900711,-211.61392211914062
69344,0.0013413451379165053,849,1556.3559597499998,938086,88,788.0,81,0.013135181739926338,-211.14358520507812
72496,0.00135286885779351,880,1561.3322812826084,944390,92,788.0,82,0.010748735629022121,-212.71624755859375
75648,0.001263279584236443,910,1566.43598571875,950694,96,788.0,83,0.011965051293373108,-214.47952270507812
78800,0.0012838863767683506,941,1570.9532887300002,956998,100,788.0,83,0.014782167971134186,-213.50225830078125
81952,0.001220466336235404,973,1586.4544701,963302,104,788.0,84,0.010857002809643745,-214.75103759765625
85104,0.001231026602908969,1005,1597.9129653499995,969606,108,788.0,84,0.011803986504673958,-215.79788208007812
88256,0.0011802120134234428,1036,1608.18046112,975910,112,788.0,85,0.011793172918260098,-216.07867431640625
91408,0.0011837651254609227,1067,1618.12312485,982214,116,788.0,85,0.012441776692867279,-216.4358367919922
94560,0.0011547970352694392,1098,1626.3207985800004,988518,120,788.0,86,0.010556154884397984,-217.2740478515625
97712,0.001158292405307293,1130,1634.39958767,994822,124,788.0,86,0.011104696430265903,-217.1251983642578
100864,0.001163864741101861,1162,1641.7518343399997,1001126,128,788.0,86,0.009981767274439335,-217.58226013183594
104016,0.001175096957013011,1194,1648.51413344,1007430,132,788.0,87,0.011545486748218536,-218.168701171875
107168,0.001124327420257032,1225,1655.1647098200003,1013734,136,788.0,87,0.011186508461833,-219.22817993164062
110320,0.0011300877667963505,1257,1661.13216483,1020038,140,788.0,87,0.011155694723129272,-220.06390380859375
113472,0.0011306554079055786,1288,1666.8932708,1026342,144,788.0,88,0.008136618882417679,-218.46212768554688
116624,0.0011063021374866366,1319,1672.55905455,1032646,148,788.0,88,0.008115634322166443,-219.91159057617188
119776,0.0011080126278102398,1351,1677.75005694,1038950,152,788.0,88,0.0075296866707503796,-219.42852783203125
122928,0.0011001195525750518,1383,1682.60797943,1045254,156,788.0,88,0.008918858133256435,-220.22540283203125
126080,0.0011229697847738862,1414,1686.87592877,1051558,160,788.0,89,0.008425536565482616,-220.651123046875
129232,0.0010928092524409294,1445,1691.5258917400001,1057862,164,788.0,89,0.009033536538481712,-220.36569213867188
132384,0.0010804202174767852,1476,1695.9147818499998,1064166,168,788.0,89,0.008749552071094513,-221.091552734375
135536,0.001094560488127172,1507,1700.3458984,1070470,172,788.0,89,0.008248935453593731,-222.6365509033203
138688,0.001103338785469532,1539,1704.4861588499998,1076774,176,788.0,90,0.009348125196993351,-222.10287475585938
141840,0.001078171655535698,1570,1709.23764688,1083078,180,788.0,90,0.008178667165338993,-222.14402770996094
144992,0.0010803465265780687,1601,1713.8430923699998,1089382,184,788.0,90,0.007025242783129215,-220.93894958496094
148144,0.0010675539961084723,1632,1718.1203460899999,1095686,188,788.0,90,0.006886943709105253,-223.99288940429688
151296,0.0010886495001614094,1664,1721.81130291,1101990,192,788.0,90,0.007255205884575844,-222.64651489257812
154448,0.0011339748743921518,1695,1724.4881105700001,1108294,196,788.0,91,0.01660681702196598,-225.354248046875
157600,0.0011077015660703182,1726,1727.4510685099997,1114598,200,788.0,91,0.009420564398169518,-223.3399658203125
160752,0.0011118212714791298,1758,1730.9879191900002,1120902,204,788.0,91,0.008707829751074314,-224.0462646484375
163904,0.0010850311955437064,1789,1734.55670334,1127206,208,788.0,91,0.007556146010756493,-222.18333435058594
167056,0.0010974290780723095,1821,1737.97921704,1133510,212,788.0,91,0.009181543253362179,-223.96812438964844
170208,0.0011285245418548584,1853,1740.8982328399998,1139814,216,788.0,91,0.0072495718486607075,-226.52188110351562
