train/ent_coef,time/fps,time/time_elapsed,train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/critic_loss,train/actor_loss
0.5466939806938171,71,33,4542,593.0,2372,4,159.27901425000002,0.2443019449710846,-399.30181884765625
0.3146689832210541,84,56,9286,593.0,4744,8,305.707767,0.0705445259809494,-581.0711059570312
0.18493548035621643,90,78,14030,593.0,7116,12,440.66187633333334,0.03192952647805214,-625.665771484375
0.10925134271383286,92,102,18774,593.0,9488,16,547.4384375625,0.02231229469180107,-605.00537109375
0.06464546918869019,94,126,23518,593.0,11860,20,627.4366819499999,0.022794591262936592,-556.8772583007812
0.03834669664502144,95,149,28262,593.0,14232,24,687.5932380416667,0.030293546617031097,-499.8896179199219
0.02284788340330124,96,172,33006,593.0,16604,28,735.9279983214286,0.032862186431884766,-444.1753845214844
0.013707024045288563,96,196,37750,593.0,18976,32,778.88842378125,0.02036437764763832,-395.6800537109375
0.008405611850321293,97,219,42494,593.0,21348,36,821.2140357222222,0.014644566923379898,-356.075439453125
0.0053328899666666985,97,243,47238,593.0,23720,40,859.1849717250001,0.02409692481160164,-327.35009765625
0.0034927818924188614,97,266,51982,593.0,26092,44,889.65986925,0.04864854738116264,-308.2479248046875
0.0023390327114611864,98,290,56726,593.0,28464,48,914.8868256666668,0.04734594747424126,-293.35723876953125
0.0016527512343600392,98,313,61470,593.0,30836,52,937.7892507884616,0.04581893980503082,-283.0895080566406
0.0012930671218782663,98,336,66214,593.0,33208,56,957.9552662857142,0.03304702788591385,-273.5114440917969
0.001157269929535687,98,360,70958,593.0,35580,60,976.8600791333332,0.027684420347213745,-264.57965087890625
0.0011885088169947267,99,383,75702,593.0,37952,64,994.8598387187499,0.027662791311740875,-259.15728759765625
0.0011412256862968206,99,407,80446,593.0,40324,68,1011.738671470588,0.02391587384045124,-254.7229461669922
0.0011315176961943507,99,430,85190,593.0,42696,72,1027.1636364583333,0.022451775148510933,-251.41036987304688
