train/critic_loss,time/time_elapsed,train/actor_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/ent_coef
0.2293114811182022,34,-398.2458801269531,68,4,153.95572800000002,4542,593.0,2372,0.5466760396957397
0.06645360589027405,58,-580.1121826171875,81,8,297.7974275,9286,593.0,4744,0.314645379781723
0.029499661177396774,81,-624.1817016601562,86,12,423.3233400833333,14030,593.0,7116,0.18490786850452423
0.027394991368055344,105,-602.5782470703125,89,16,525.5319805625,18774,593.0,9488,0.10925420373678207
0.023747870698571205,128,-553.73193359375,91,20,608.2940259000001,23518,593.0,11860,0.06472121924161911
0.03690733760595322,152,-496.8365173339844,93,24,670.2649267916667,28262,593.0,14232,0.03842145577073097
0.03333120793104172,174,-441.26470947265625,94,28,718.68516,33006,593.0,16604,0.022918006405234337
0.02230297587811947,200,-392.5552062988281,94,32,757.4223106249999,37750,593.0,18976,0.01379469595849514
0.020588846877217293,224,-352.64874267578125,95,36,794.9858408888888,42494,593.0,21348,0.008436683565378189
0.0162324421107769,247,-321.4403076171875,95,40,828.2923327000001,47238,593.0,23720,0.005265314597636461
0.016997696831822395,271,-297.6507263183594,96,44,855.3834172045455,51982,593.0,26092,0.0033793076872825623
0.019857630133628845,295,-279.7179870605469,96,48,879.7358119375,56726,593.0,28464,0.002239207038655877
0.020461594685912132,318,-264.7204895019531,96,52,900.79141375,61470,593.0,30836,0.0015612822026014328
0.020859720185399055,342,-255.3016815185547,97,56,919.8765144107143,66214,593.0,33208,0.0012375572696328163
0.023712508380413055,365,-247.57077026367188,97,60,938.4056230166667,70958,593.0,35580,0.0012137480080127716
0.020794769749045372,389,-243.36053466796875,97,64,955.8129564999999,75702,593.0,37952,0.001236134092323482
0.0203312486410141,412,-238.70806884765625,97,68,971.9124108676469,80446,593.0,40324,0.0012189988046884537
0.017443960532546043,436,-234.6872100830078,97,72,986.1078534166668,85190,593.0,42696,0.0012105366913601756
0.01987311616539955,459,-233.88111877441406,98,76,999.6815965526318,89934,593.0,45068,0.0012220228090882301
0.017736978828907013,483,-232.90493774414062,98,80,1012.9951006875001,94678,593.0,47440,0.001281882869079709
0.013800875283777714,506,-230.70513916015625,98,84,1026.1615446309527,99422,593.0,49812,0.0013001146726310253
0.012931694276630878,530,-230.670166015625,98,88,1038.693400659091,104166,593.0,52184,0.0013185637071728706
0.01618245616555214,553,-229.67041015625,98,92,1050.8708188913042,108910,593.0,54556,0.0013650049222633243
0.012770412489771843,578,-229.72817993164062,98,96,1062.31981859375,113654,593.0,56928,0.0013524038949981332
0.014703976921737194,602,-229.35202026367188,98,100,1073.25186401,118398,593.0,59300,0.0014000623486936092
0.00979640707373619,625,-230.20068359375,98,104,1120.9803076399999,123142,593.0,61672,0.0014090643962845206
0.011209233663976192,649,-230.28692626953125,98,108,1157.51468892,127886,593.0,64044,0.0014551570639014244
0.012720461934804916,673,-230.70909118652344,98,112,1185.1580258800002,132630,593.0,66416,0.0015120349125936627
0.00957494881004095,697,-231.85256958007812,98,116,1206.8670722699999,137374,593.0,68788,0.001529073459096253
0.011899715289473534,721,-231.63450622558594,98,120,1224.4832181,142118,593.0,71160,0.0015409706393256783
0.0104657132178545,745,-232.36700439453125,98,124,1240.52706219,146862,593.0,73532,0.0015994299901649356
0.01030631735920906,769,-233.023681640625,98,128,1255.7744993300003,151606,593.0,75904,0.001586098107509315
0.01278582401573658,793,-234.49588012695312,98,132,1270.2599047200001,156350,593.0,78276,0.001604548073373735
0.012995801866054535,817,-235.6444091796875,98,136,1282.3041103100002,161094,593.0,80648,0.0015761032700538635
0.016424188390374184,840,-235.8493194580078,98,140,1293.28589419,165838,593.0,83020,0.0015895930118858814
0.01156422309577465,865,-235.76690673828125,98,144,1304.37256067,170582,593.0,85392,0.0016143475659191608
0.014255939982831478,889,-237.57058715820312,98,148,1314.84386569,175326,593.0,87764,0.0016177258221432567
0.01202662754803896,913,-237.91522216796875,98,152,1325.2097229400003,180070,593.0,90136,0.001614213571883738
0.011453526094555855,937,-238.203369140625,98,156,1335.2371934,184814,593.0,92508,0.0016738735139369965
0.016028914600610733,961,-239.46560668945312,98,160,1344.22434859,189558,593.0,94880,0.001640292932279408
0.016609875485301018,984,-239.85760498046875,98,164,1352.575673,194302,593.0,97252,0.0016628442099317908
0.016155796125531197,1008,-240.266845703125,98,168,1360.3827631400002,199046,593.0,99624,0.001630311831831932
0.011526334099471569,1032,-240.96966552734375,98,172,1368.6989842799999,203790,593.0,101996,0.001642021699808538
0.014480163343250751,1056,-241.83004760742188,98,176,1376.3058060699998,208534,593.0,104368,0.0016455096192657948
0.012759245932102203,1080,-242.48269653320312,98,180,1382.7604381300002,213278,593.0,106740,0.0016500360798090696
0.013169553130865097,1104,-242.6793212890625,98,184,1389.0011647899996,218022,593.0,109112,0.0016499763587489724
0.1909334659576416,1128,-248.03302001953125,98,188,1392.7620259499997,222766,593.0,111484,0.0025378898717463017
0.18130448460578918,1152,-256.635009765625,98,192,1390.75852326,227510,593.0,113856,0.0028427208308130503
0.18709337711334229,1176,-262.4674072265625,98,196,1385.69715239,232254,593.0,116228,0.0027497797273099422
0.20588715374469757,1200,-265.1959228515625,98,200,1381.4518750200002,236998,593.0,118600,0.002701109740883112
