time/total_timesteps,train/actor_loss,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/time_elapsed,train/n_updates,train/ent_coef,rollout/ep_rew_mean
632,-109.3856201171875,158.0,4,39,2.1949729919433594,16,1062,0.8574559688568115,51.791300500000006
1264,-233.23863220214844,158.0,8,56,0.34803149104118347,22,2326,0.7225754857063293,48.039147375000006
1896,-335.5260925292969,158.0,12,66,0.2690274715423584,28,3590,0.6146945953369141,45.695643083333344
2528,-417.17974853515625,158.0,16,72,0.24207554757595062,34,4854,0.5264111757278442,50.93651475
3160,-480.86773681640625,158.0,20,77,0.1819135695695877,41,6118,0.45293185114860535,56.2158954
3792,-529.93798828125,158.0,24,80,0.11141370981931686,47,7382,0.3909998834133148,65.88417904166667
4424,-566.3197021484375,158.0,28,82,0.07980635017156601,53,8646,0.3383093774318695,76.0012437857143
5056,-592.2282104492188,158.0,32,84,0.06327827274799347,59,9910,0.2931673526763916,85.56498828125
5688,-609.689453125,158.0,36,86,0.056212425231933594,65,11174,0.2543202340602875,95.03265358333333
6320,-619.9742431640625,158.0,40,87,0.04124072566628456,72,12438,0.2207849770784378,104.8382409
6952,-624.472412109375,158.0,44,88,0.03666258230805397,78,13702,0.19176705181598663,113.07189745454548
7584,-624.16845703125,158.0,48,89,0.03975243121385574,84,14966,0.16662262380123138,121.44372397916668
8216,-620.3297119140625,158.0,52,90,0.028158038854599,90,16230,0.144816055893898,129.81233573076923
8848,-613.4729614257812,158.0,56,91,0.02723970264196396,96,17494,0.12589788436889648,137.61344626785714
9480,-604.0322265625,158.0,60,92,0.02683197520673275,102,18758,0.10946991294622421,144.84597551666667
10112,-592.9415893554688,158.0,64,93,0.0263544712215662,108,20022,0.09520246833562851,151.56492920312502
10744,-580.3353271484375,158.0,68,93,0.031393054872751236,114,21286,0.08280210196971893,157.89756563235298
11376,-566.8600463867188,158.0,72,94,0.027801280841231346,120,22550,0.07203742861747742,164.24208008333332
12008,-552.360595703125,158.0,76,94,0.03262496739625931,126,23814,0.06270074099302292,170.3537324736842
12640,-537.7450561523438,158.0,80,95,0.03276974335312843,132,25078,0.05459757149219513,175.828411975
13272,-522.641357421875,158.0,84,95,0.037188634276390076,138,26342,0.04756523668766022,181.41663670238094
13904,-507.82257080078125,158.0,88,95,0.040497615933418274,144,27606,0.04147178679704666,186.73947678409093
14536,-492.9157409667969,158.0,92,96,0.040150273591279984,150,28870,0.03617480397224426,191.58145092391308
15168,-478.5640869140625,158.0,96,96,0.03978286683559418,157,30134,0.03156666457653046,196.60694153125
15800,-464.60858154296875,158.0,100,96,0.044126614928245544,163,31398,0.02756524085998535,201.35848436999996
16432,-450.8831481933594,158.0,104,97,0.03967069461941719,169,32662,0.024098049849271774,212.18873672999996
17064,-437.6875,158.0,108,97,0.03881819546222687,175,33926,0.021088209003210068,223.53330400000002
17696,-425.3238525390625,158.0,112,97,0.03597816824913025,181,35190,0.018468353897333145,235.55036458999996
18328,-414.0389099121094,158.0,116,97,0.034622032195329666,187,36454,0.01619851589202881,246.75222794
18960,-402.9503173828125,158.0,120,97,0.03271878883242607,193,37718,0.014225448481738567,257.65749419
