#{"t_start": 1690755708.3487742, "env_id": "None"}
r,l,t,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
151.322863,150,4.672993,0.7233333333333334,0.11333333333333333,0.3877777777777778,0.6666666666666666,1.0,0.6666666666666666
355.049732,150,6.146299,0.7799999999999999,0.38,0.6279999999999999,1.0,1.0,1.0
354.800517,150,7.651284,0.7855555555555557,0.36333333333333334,0.5806666666666667,1.0,1.0,1.0
349.662576,150,9.16786,0.8122222222222222,0.31333333333333335,0.5237777777777777,1.0,1.0,1.0
367.305858,150,10.663445,0.8666666666666667,0.35,0.5555555555555555,1.0,1.0,1.0
346.045793,150,12.176927,0.7544444444444444,0.3233333333333333,0.5797777777777777,1.0,1.0,1.0
352.521667,150,13.67639,0.7833333333333333,0.35333333333333333,0.5579999999999999,1.0,1.0,1.0
363.884169,150,15.158065,0.85,0.37,0.5846666666666666,1.0,1.0,1.0
352.457993,150,16.68911,0.7799999999999999,0.3466666666666667,0.5213333333333332,1.0,1.0,1.0
375.250517,150,18.255552,0.9255555555555555,0.43333333333333335,0.5784444444444443,1.0,1.0,1.0
358.160307,150,19.768525,0.7811111111111111,0.33,0.5797777777777776,1.0,1.0,1.0
359.420548,150,21.26728,0.8472222222222223,0.36,0.5162222222222221,1.0,1.0,1.0
373.494598,150,22.749259,0.9316666666666666,0.4066666666666667,0.5535555555555555,1.0,1.0,1.0
369.325444,150,24.215292,0.8677777777777779,0.3933333333333333,0.5686666666666667,1.0,1.0,1.0
353.202646,150,25.680987,0.736111111111111,0.32666666666666666,0.5855555555555554,1.0,1.0,1.0
345.762907,150,27.172106,0.7511111111111111,0.25,0.48088888888888887,1.0,1.0,1.0
327.330333,150,28.662924,0.7516666666666667,0.31,0.5157777777777777,1.0,1.0,1.0
352.950308,150,30.157196,0.8844444444444444,0.30333333333333334,0.43644444444444425,1.0,1.0,1.0
331.96851,150,31.687779,0.6888888888888889,0.24333333333333335,0.46844444444444444,1.0,1.0,1.0
340.837124,150,33.218385,0.7466666666666667,0.2866666666666667,0.49133333333333323,1.0,1.0,1.0
342.096026,150,34.737552,0.7718888888888888,0.28,0.49123809523809514,1.0,1.0,1.0
338.612049,150,36.263246,0.7788888888888889,0.24,0.45933333333333326,1.0,1.0,1.0
343.084026,150,37.761414,0.8166666666666667,0.20666666666666667,0.41888888888888887,1.0,1.0,1.0
348.247493,150,39.29543,0.8116666666666666,0.3,0.5144444444444444,1.0,1.0,1.0
345.190559,150,40.832448,0.8038888888888889,0.28,0.4671111111111109,1.0,1.0,1.0
352.396688,150,42.357194,0.7955555555555556,0.33,0.576,1.0,1.0,1.0
368.497737,150,43.895286,0.9022222222222221,0.37666666666666665,0.5404444444444443,1.0,1.0,1.0
356.899554,150,45.389395,0.8238888888888889,0.32666666666666666,0.5359999999999998,1.0,1.0,1.0
363.73812,150,46.949155,0.8333333333333334,0.36666666666666664,0.5755555555555554,1.0,1.0,1.0
367.503733,150,48.459408,0.8977777777777779,0.36,0.5164444444444445,1.0,1.0,1.0
376.463853,150,49.959336,0.8822222222222221,0.36333333333333334,0.5515555555555555,1.0,1.0,1.0
362.372045,150,51.451012,0.8872222222222221,0.37,0.5526666666666665,1.0,1.0,1.0
363.895201,150,52.933598,0.836111111111111,0.3466666666666667,0.5575555555555554,1.0,1.0,1.0
368.366787,150,54.442907,0.8566666666666667,0.36666666666666664,0.5477777777777777,1.0,1.0,1.0
336.16215,150,55.93243,0.7366666666666667,0.2733333333333333,0.5157777777777778,0.98,1.0,0.98
336.511159,150,57.406783,0.75,0.23666666666666666,0.42688888888888876,0.9933333333333333,1.0,0.9933333333333333
352.603022,150,58.930106,0.7966666666666666,0.30666666666666664,0.5624444444444443,1.0,1.0,1.0
353.193047,150,60.46771,0.836111111111111,0.32,0.5042222222222221,1.0,1.0,1.0
367.389699,150,61.983364,0.8755555555555554,0.41333333333333333,0.5853333333333333,1.0,1.0,1.0
346.182159,150,63.498334,0.7388888888888888,0.29333333333333333,0.5404444444444443,1.0,1.0,1.0
349.890349,150,65.003904,0.7822222222222222,0.27,0.447111111111111,1.0,1.0,1.0
336.550813,150,66.491037,0.8155555555555556,0.2,0.39155555555555555,1.0,1.0,1.0
347.173604,150,67.990372,0.77,0.29,0.48688888888888887,1.0,1.0,1.0
350.58302,150,69.473274,0.811111111111111,0.32,0.4786666666666666,1.0,1.0,1.0
336.832787,150,70.9865,0.6255555555555555,0.2633333333333333,0.6082222222222221,1.0,1.0,1.0
354.090401,150,72.522632,0.801111111111111,0.32666666666666666,0.5099999999999999,1.0,1.0,1.0
348.052424,150,74.067585,0.7844444444444445,0.2966666666666667,0.5077777777777777,1.0,1.0,1.0
362.942079,150,75.57461,0.8157777777777777,0.3233333333333333,0.5639047619047618,1.0,1.0,1.0
360.529902,150,77.119005,0.8077777777777778,0.31333333333333335,0.49333333333333335,1.0,1.0,1.0
368.725419,150,78.656742,0.83,0.37,0.6046666666666666,1.0,1.0,1.0
381.066333,150,80.158999,0.9088888888888887,0.4033333333333333,0.587111111111111,1.0,1.0,1.0
368.759101,150,81.677159,0.8616666666666667,0.3433333333333333,0.5244444444444443,1.0,1.0,1.0
373.143598,150,83.207414,0.8855555555555554,0.38333333333333336,0.5704444444444444,1.0,1.0,1.0
371.641529,150,84.753752,0.8911111111111112,0.38,0.5564444444444443,1.0,1.0,1.0
361.914333,150,86.276817,0.8422222222222222,0.33666666666666667,0.5115555555555554,1.0,1.0,1.0
355.688812,150,87.820693,0.8077777777777778,0.31,0.4997777777777776,1.0,1.0,1.0
348.979984,150,89.353841,0.7466666666666667,0.2966666666666667,0.56,1.0,1.0,1.0
361.240434,150,90.862966,0.8222222222222222,0.3333333333333333,0.527111111111111,1.0,1.0,1.0
388.020871,150,92.374042,0.9533333333333334,0.43,0.5813333333333333,1.0,1.0,1.0
354.940049,150,93.891198,0.78,0.3233333333333333,0.5622222222222222,1.0,1.0,1.0
361.717416,150,95.39318,0.8177777777777777,0.3566666666666667,0.5124444444444444,1.0,1.0,1.0
360.49788,150,96.891867,0.8394444444444444,0.3233333333333333,0.49866666666666654,1.0,1.0,1.0
362.015305,150,98.390685,0.8077777777777777,0.31666666666666665,0.5353333333333332,1.0,1.0,1.0
