train/n_updates,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/ent_coef,train/critic_loss,train/actor_loss
1246822,3275.9235965,472,1321.0,6143,623512,101,0.001588385202921927,0.056342948228120804,-248.1025848388672
1257390,3276.80165385,476,1321.0,6196,628796,101,0.0015019746497273445,0.047059066593647,-245.56585693359375
1267958,3278.1029087700003,480,1321.0,6249,634080,101,0.0014914952917024493,0.04639905318617821,-245.6884765625
1278526,3279.1084773899993,484,1321.0,6301,639364,101,0.0015045651234686375,0.041721753776073456,-245.76895141601562
1289094,3280.5267180799997,488,1321.0,6354,644648,101,0.0014861319214105606,0.04748428612947464,-247.67343139648438
1299662,3280.97099183,492,1321.0,6407,649932,101,0.0015019072452560067,0.04556264728307724,-246.23220825195312
1310230,3282.97594767,496,1321.0,6459,655216,101,0.0014983107103034854,0.04096231237053871,-246.75897216796875
1320798,3284.0689452100005,500,1321.0,6511,660500,101,0.0015050366055220366,0.04765167832374573,-246.2237091064453
1331366,3285.5265032200004,504,1321.0,6564,665784,101,0.0015056796837598085,0.0473129078745842,-246.87576293945312
1341934,3287.2199464200003,508,1321.0,6617,671068,101,0.0014750892296433449,0.05174881964921951,-246.563720703125
1352502,3287.81159957,512,1321.0,6670,676352,101,0.0014797007897868752,0.04223198443651199,-246.41876220703125
1363070,3288.2191050599995,516,1321.0,6722,681636,101,0.001507576322183013,0.057888954877853394,-247.410400390625
1373638,3289.8630727499985,520,1321.0,6775,686920,101,0.0014984923182055354,0.044886648654937744,-247.05316162109375
1384206,3291.33745755,524,1321.0,6827,692204,101,0.0014860391383990645,0.057483602315187454,-247.3388671875
1394774,3293.0567578500004,528,1321.0,6880,697488,101,0.0015132069820538163,0.054300758987665176,-247.45819091796875
1405342,3293.86427643,532,1321.0,6932,702772,101,0.0014913005288690329,0.04528208449482918,-246.9601287841797
1415910,3295.83981711,536,1321.0,6985,708056,101,0.0014860015362501144,0.062284115701913834,-247.101318359375
1426478,3297.55471053,540,1321.0,7036,713340,101,0.0014788472326472402,0.03768908977508545,-247.74375915527344
1437046,3299.521887230001,544,1321.0,7088,718624,101,0.001523211714811623,0.04939079284667969,-247.4964599609375
1447614,3300.04809331,548,1321.0,7140,723908,101,0.0014730326365679502,0.05125271528959274,-247.3883056640625
1458182,3300.88243862,552,1321.0,7193,729192,101,0.001502412953414023,0.047816064208745956,-246.925048828125
1468750,3302.2391392199997,556,1321.0,7245,734476,101,0.0014803910162299871,0.049790337681770325,-247.156005859375
1479318,3303.5335424500004,560,1321.0,7297,739760,101,0.00150207057595253,0.05566604062914848,-247.15786743164062
1489886,3304.443339240001,564,1321.0,7350,745044,101,0.0014797896146774292,0.05373794212937355,-247.7677459716797
1500454,3306.0458912699996,568,1321.0,7402,750328,101,0.0014875151682645082,0.05277445539832115,-247.078857421875
1511022,3307.2085880600002,572,1321.0,7455,755612,101,0.0014826975530013442,0.04681907966732979,-247.92034912109375
1521590,3308.9929481500003,576,1321.0,7507,760896,101,0.0015003011794760823,0.04727838933467865,-247.0294189453125
1532158,3310.4480163,580,1321.0,7558,766180,101,0.001463029533624649,0.051204267889261246,-247.66574096679688
1542726,3312.5182671199996,584,1321.0,7611,771464,101,0.0014759652549400926,0.0379117950797081,-247.3831787109375
1553294,3313.8759513099994,588,1321.0,7663,776748,101,0.001490761642344296,0.06922529637813568,-247.30368041992188
1563862,3315.8534203000004,592,1321.0,7716,782032,101,0.001479021506384015,0.044672269374132156,-247.935791015625
1574430,3317.1341333800005,596,1321.0,7768,787316,101,0.0014800627250224352,0.048105388879776,-248.66015625
1584998,3319.1474657999997,600,1321.0,7821,792600,101,0.0014825781108811498,0.05336243286728859,-248.20309448242188
1595566,3321.0995755199997,604,1321.0,7874,797884,101,0.0014971779892221093,0.05857759714126587,-249.124267578125
1606134,3321.9259327599993,608,1321.0,7927,803168,101,0.0014985001180320978,0.04368976503610611,-247.3188934326172
1616702,3323.6612045700003,612,1321.0,7979,808452,101,0.0015040020225569606,0.0508773997426033,-248.77178955078125
1627270,3325.6784585600008,616,1321.0,8031,813736,101,0.0014973629731684923,0.04331512376666069,-248.67140197753906
1637838,3326.5992222799996,620,1321.0,8084,819020,101,0.0014962701825425029,0.04303891211748123,-248.5705108642578
1648406,3327.82908869,624,1321.0,8136,824304,101,0.0014816452749073505,0.04673086851835251,-248.77362060546875
1658974,3329.4080542300003,628,1321.0,8189,829588,101,0.0014730578986927867,0.0427437499165535,-249.53042602539062
1669542,3331.1646913000004,632,1321.0,8241,834872,101,0.0014978162944316864,0.04747290164232254,-248.87612915039062
1680110,3332.9164279600013,636,1321.0,8294,840156,101,0.0014689433155581355,0.052927665412425995,-249.55862426757812
1690678,3333.8128204000004,640,1321.0,8345,845440,101,0.001479560974985361,0.04145460203289986,-249.2509002685547
1701246,3334.0957268100005,644,1321.0,8398,850724,101,0.001469288021326065,0.051152873784303665,-249.21798706054688
1711814,3336.48972787,648,1321.0,8450,856008,101,0.0014813138404861093,0.040330950170755386,-248.44264221191406
1722382,3338.00757222,652,1321.0,8503,861292,101,0.0014832300366833806,0.04374474287033081,-248.59619140625
1732950,3339.3010974899994,656,1321.0,8556,866576,101,0.001492936979047954,0.051411934196949005,-249.3614044189453
1743518,3340.1787828999995,660,1321.0,8608,871860,101,0.0014770502457395196,0.050772327929735184,-249.67474365234375
1754086,3341.64675994,664,1321.0,8660,877144,101,0.0014777376782149076,0.042310114949941635,-249.06690979003906
1764654,3343.5417797699997,668,1321.0,8712,882428,101,0.001466600107960403,0.04105055704712868,-249.00328063964844
1775222,3344.965487709999,672,1321.0,8764,887712,101,0.0014949943870306015,0.0445084385573864,-249.73306274414062
1785790,3345.27163204,676,1321.0,8817,892996,101,0.0014910907484591007,0.04825681820511818,-248.55307006835938
1796358,3345.8621576199994,680,1321.0,8869,898280,101,0.001496056211180985,0.05044825002551079,-247.885009765625
1806926,3346.023042989999,684,1321.0,8920,903564,101,0.0015282082604244351,0.03714983910322189,-248.4644775390625
1817494,3346.6155770399996,688,1321.0,8972,908848,101,0.0014976657694205642,0.039709944278001785,-247.87997436523438
1828062,3346.7498494499996,692,1321.0,9024,914132,101,0.0014913005288690329,0.04119399935007095,-248.53761291503906
1838630,3346.756069639999,696,1321.0,9075,919416,101,0.001518066506832838,0.045313529670238495,-248.36474609375
1849198,3347.349210489999,700,1321.0,9128,924700,101,0.001498707919381559,0.04200409725308418,-249.0343017578125
1859766,3347.837484049999,704,1321.0,9179,929984,101,0.001538289594464004,0.04209747165441513,-248.68650817871094
1870334,3348.3975059299996,708,1321.0,9232,935268,101,0.001488761859945953,0.048013366758823395,-248.34548950195312
1880902,3348.72358673,712,1321.0,9284,940552,101,0.0014887548750266433,0.05269373953342438,-248.7681427001953
1891470,3349.9095721000003,716,1321.0,9336,945836,101,0.0015080178854987025,0.04484610632061958,-249.25714111328125
1902038,3350.67470912,720,1321.0,9388,951120,101,0.0015339050441980362,0.04899284988641739,-250.2810821533203
1912606,3351.28966989,724,1321.0,9440,956404,101,0.0015367749147117138,0.05002626031637192,-247.57989501953125
1923174,3350.91361171,728,1321.0,9492,961688,101,0.001482754829339683,0.04807489737868309,-248.38177490234375
1933742,3351.3967873499996,732,1321.0,9544,966972,101,0.0015036922413855791,0.04370895400643349,-248.57069396972656
1944310,3351.5672334799997,736,1321.0,9596,972256,101,0.0014890771126374602,0.04213326424360275,-250.03607177734375
1954878,3352.4695084,740,1321.0,9648,977540,101,0.0015012678923085332,0.04400813579559326,-250.790283203125
1965446,3353.35465425,744,1321.0,9700,982824,101,0.0014827258419245481,0.044732142239809036,-248.58499145507812
1976014,3353.2733931100006,748,1321.0,9752,988108,101,0.0014958984684199095,0.03826790302991867,-249.83929443359375
1986582,3353.965763480001,752,1321.0,9804,993392,101,0.001500834128819406,0.03827516734600067,-248.33346557617188
1997150,3354.9892307,756,1321.0,9856,998676,101,0.0014945374568924308,0.03728119283914566,-248.765869140625
