train/n_updates,train/critic_loss,time/episodes,train/actor_loss,time/fps,train/ent_coef,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean
504118,0.01278109010308981,320,-232.94564819335938,99,0.0013402685290202498,252160,1799.19247031,2522,788.0
510422,0.010624836198985577,324,-235.54324340820312,99,0.001327694277279079,255312,1801.38566989,2553,788.0
516726,0.012201924808323383,328,-237.32095336914062,99,0.0013325343606993556,258464,1803.5604453399997,2585,788.0
523030,0.011397267691791058,332,-235.41943359375,99,0.0013412159169092774,261616,1806.0241432899995,2616,788.0
529334,0.013982230797410011,336,-235.4110107421875,99,0.0013527455739676952,264768,1808.5730597099996,2647,788.0
535638,0.011137028224766254,340,-232.28359985351562,100,0.0013436202425509691,267920,1810.65830754,2679,788.0
541942,0.012279272079467773,344,-235.26828002929688,100,0.0013413764536380768,271072,1812.58731294,2710,788.0
548246,0.010181121528148651,348,-236.0723419189453,100,0.001345433876849711,274224,1814.9101196800004,2741,788.0
554550,0.010675405152142048,352,-236.34896850585938,100,0.001333239721134305,277376,1816.9881124600006,2773,788.0
560854,0.014002540148794651,356,-236.05938720703125,100,0.001345228054560721,280528,1819.1273581100002,2804,788.0
567158,0.011157820001244545,360,-236.00283813476562,100,0.001353294006548822,283680,1820.9307261099998,2836,788.0
573462,0.011620791628956795,364,-236.52548217773438,99,0.0013519299682229757,286832,1822.6958369399995,2868,788.0
579766,0.012877706438302994,368,-235.761962890625,100,0.0013491137651726604,289984,1824.4211761399995,2899,788.0
586070,0.012065662071108818,372,-238.03677368164062,99,0.0013395586283877492,293136,1825.8474557699997,2932,788.0
592374,0.011002980172634125,376,-238.09671020507812,99,0.0013568198774009943,296288,1827.2469252099995,2965,788.0
598678,0.012788960710167885,380,-235.96368408203125,99,0.0013474185252562165,299440,1828.9693539699997,2996,788.0
604982,0.013525628484785557,384,-240.13693237304688,99,0.0013461810303851962,302592,1830.2196560500001,3028,788.0
611286,0.012028167024254799,388,-238.24935913085938,99,0.0013481279602274299,305744,1831.49220017,3060,788.0
617590,0.01317188423126936,392,-240.45166015625,99,0.001346756238490343,308896,1832.86524774,3093,788.0
623894,0.00992131419479847,396,-237.19796752929688,99,0.0013548617716878653,312048,1834.28861842,3125,788.0
630198,0.011597102507948875,400,-238.35208129882812,99,0.0013558084610849619,315200,1835.6238411300003,3157,788.0
636502,0.011847799643874168,404,-240.410400390625,99,0.0013566692359745502,318352,1837.1948424900004,3189,788.0
642806,0.011986889876425266,408,-237.5876922607422,99,0.0013436701847240329,321504,1837.87780213,3221,788.0
649110,0.01145075261592865,412,-239.60671997070312,99,0.0013677891111001372,324656,1839.18959355,3253,788.0
655414,0.012316159904003143,416,-237.19699096679688,99,0.001356886001303792,327808,1840.4493324699997,3285,788.0
661718,0.013494065962731838,420,-239.09036254882812,99,0.0013764071045443416,330960,1841.7960702000003,3317,788.0
668022,0.011327355168759823,424,-237.967529296875,99,0.0013576217461377382,334112,1842.9736196200001,3349,788.0
674326,0.011966822668910027,428,-239.1170654296875,99,0.0013575376942753792,337264,1844.07684701,3381,788.0
680630,0.013337623327970505,432,-242.0406951904297,99,0.0013627117732539773,340416,1844.97982126,3413,788.0
686934,0.011516572907567024,436,-238.6622314453125,99,0.0013566866982728243,343568,1846.0326318700004,3445,788.0
693238,0.014665380120277405,440,-240.0207977294922,99,0.0013467863900586963,346720,1847.38525695,3476,788.0
699542,0.012872935272753239,444,-240.46389770507812,99,0.0013434798456728458,349872,1848.6823315200004,3508,788.0
705846,0.011187567375600338,448,-237.72305297851562,99,0.0013544424436986446,353024,1849.95323333,3539,788.0
712150,0.015531500801444054,452,-240.37203979492188,99,0.0013528675772249699,356176,1851.35959614,3570,788.0
718454,0.011662793345749378,456,-237.84619140625,99,0.001368734985589981,359328,1852.7460822799999,3602,788.0
724758,0.012450558133423328,460,-239.90121459960938,99,0.001354824285954237,362480,1853.8446487899998,3634,788.0
731062,0.016067326068878174,464,-242.65280151367188,99,0.0013656917726621032,365632,1855.1849897999998,3666,788.0
737366,0.011939860880374908,468,-238.36865234375,99,0.0013475045561790466,368784,1856.1166036500001,3696,788.0
743670,0.01333045493811369,472,-240.4757080078125,99,0.0013681302079930902,371936,1857.4546567600005,3727,788.0
749974,0.012720901519060135,476,-242.157958984375,99,0.0013522780500352383,375088,1858.55900771,3757,788.0
756278,0.013721739873290062,480,-240.3170166015625,99,0.0013630309840664268,378240,1859.49655927,3789,788.0
762582,0.0100947804749012,484,-242.14137268066406,99,0.0013549902942031622,381392,1860.89078855,3820,788.0
768886,0.012904996983706951,488,-240.11949157714844,99,0.0013551453594118357,384544,1862.12987522,3851,788.0
775190,0.011205951683223248,492,-241.08737182617188,99,0.001367481192573905,387696,1863.5076362400005,3883,788.0
781494,0.013519477099180222,496,-240.33895874023438,99,0.0013550426810979843,390848,1864.5728512900005,3914,788.0
787798,0.012911549769341946,500,-242.91209411621094,99,0.0013629815075546503,394000,1865.8656994799999,3946,788.0
794102,0.01262789685279131,504,-242.43881225585938,99,0.0013678999384865165,397152,1867.16942406,3977,788.0
800406,0.013805304653942585,508,-243.02255249023438,99,0.0013558570062741637,400304,1868.9963077900002,4008,788.0
806710,0.013471515849232674,512,-241.8698272705078,99,0.001359744230285287,403456,1870.38112906,4039,788.0
813014,0.012165166437625885,516,-241.210205078125,99,0.0013665459118783474,406608,1871.4588452500002,4071,788.0
819318,0.011434976942837238,520,-243.74044799804688,99,0.0013699913397431374,409760,1872.0741375500002,4103,788.0
825622,0.01537268329411745,524,-243.80697631835938,99,0.0013700594427064061,412912,1873.35337877,4135,788.0
831926,0.013767327181994915,528,-241.98812866210938,99,0.0013748642522841692,416064,1874.4396886400002,4167,788.0
838230,0.011807323433458805,532,-242.6257781982422,99,0.001373069710098207,419216,1875.5438084199998,4198,788.0
844534,0.012199118733406067,536,-243.23171997070312,99,0.0013588516740128398,422368,1876.4553507,4230,788.0
850838,0.012005897238850594,540,-242.3841094970703,99,0.001368804951198399,425520,1877.1022764999998,4262,788.0
857142,0.013318574987351894,544,-241.9471435546875,99,0.0013512751320376992,428672,1878.1728896500001,4294,788.0
863446,0.013254369609057903,548,-242.38267517089844,99,0.0013661575503647327,431824,1878.9583803900005,4326,788.0
869750,0.012129637412726879,552,-241.517822265625,99,0.0013587240828201175,434976,1879.9801493900002,4357,788.0
876054,0.01330433040857315,556,-241.64617919921875,99,0.001360180671326816,438128,1880.72334268,4389,788.0
882358,0.012987128458917141,560,-243.68182373046875,99,0.0013622116530314088,441280,1882.00333108,4421,788.0
888662,0.011083063669502735,564,-243.058837890625,99,0.0013712461804971099,444432,1882.9743074799999,4452,788.0
894966,0.012748131528496742,568,-243.29928588867188,99,0.0013601846294477582,447584,1884.2504094,4485,788.0
901270,0.014021231792867184,572,-244.90557861328125,99,0.00137419777456671,450736,1885.3776991800003,4517,788.0
907574,0.010893288999795914,576,-242.00997924804688,99,0.0013789848890155554,453888,1886.3074117999997,4549,788.0
913878,0.011492877267301083,580,-241.95108032226562,99,0.001380380941554904,457040,1887.3265499400002,4580,788.0
920182,0.013769799843430519,584,-242.12521362304688,99,0.0013554187025874853,460192,1888.1376038999997,4612,788.0
