#{"t_start": 1691297466.8247437, "env_id": "None"}
r,l,t,c,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
-28.111383,158,22.333437,64.0,0.6067510548523207,0.08333333333333333,0.06488848704038577,0.8544303797468354,0.620253164556962,0.47468354430379744
-4.359717,158,25.283888,44.0,0.7278481012658228,0.06962025316455696,0.05063291139240506,0.8924050632911392,0.6329113924050633,0.5253164556962026
-26.977992,158,28.271917,50.0,0.6904008438818565,0.08544303797468354,0.07257383966244726,0.8607594936708861,0.5759493670886076,0.43670886075949367
-7.709308,158,31.270386,70.0,0.5638185654008439,0.07172995780590717,0.05780590717299578,0.879746835443038,0.5759493670886076,0.45569620253164556
-13.870576,158,34.24008,51.0,0.679324894514768,0.07172995780590717,0.04430379746835443,0.8860759493670886,0.6329113924050633,0.5189873417721519
-16.968653,158,37.246818,64.0,0.6081223628691984,0.08386075949367089,0.04303797468354431,0.8734177215189873,0.6455696202531646,0.5189873417721519
-12.68601,158,40.278403,52.0,0.6751054852320675,0.07700421940928269,0.050632911392405056,0.8924050632911392,0.5886075949367089,0.4810126582278481
-17.871583,158,43.285345,49.0,0.6930379746835443,0.06645569620253164,0.05379746835443038,0.879746835443038,0.569620253164557,0.44936708860759494
-8.034944,158,46.266852,46.0,0.7172995780590717,0.08122362869198312,0.06901748040988548,0.8734177215189873,0.620253164556962,0.4936708860759494
-12.190426,158,49.265276,58.0,0.6619198312236286,0.09599156118143458,0.06362266425557565,0.8607594936708861,0.6329113924050633,0.4936708860759494
-24.544285,158,52.225029,56.0,0.6761603375527426,0.10864978902953586,0.10253164556962027,0.8860759493670886,0.5759493670886076,0.4620253164556962
-28.584635,158,55.194652,51.0,0.6835443037974683,0.07911392405063292,0.04419831223628692,0.8987341772151899,0.569620253164557,0.46835443037974683
-33.780719,158,58.204099,48.0,0.7078059071729957,0.07911392405063292,0.03776371308016878,0.8607594936708861,0.5886075949367089,0.44936708860759494
-38.38781,158,61.210751,61.0,0.6218354430379747,0.08544303797468354,0.04748342374924654,0.9493670886075949,0.5506329113924051,0.5
-24.634753,158,64.191098,48.0,0.7115581675708258,0.10654008438818564,0.09326401446654611,0.9050632911392406,0.5506329113924051,0.45569620253164556
-76.355964,158,67.161039,37.0,0.7689873417721519,0.06962025316455696,0.06434599156118143,0.8734177215189873,0.5189873417721519,0.3924050632911392
-70.330227,158,70.183828,43.0,0.7356088004822182,0.08438818565400844,0.05393811533052039,0.9050632911392406,0.4810126582278481,0.3860759493670886
-85.626292,158,73.175287,36.0,0.7795358649789029,0.08227848101265822,0.06835443037974684,0.8734177215189873,0.4936708860759494,0.3670886075949367
-75.845246,158,76.194487,40.0,0.7589662447257385,0.07911392405063292,0.060669077757685354,0.879746835443038,0.43670886075949367,0.31645569620253167
-87.827103,158,79.182706,26.0,0.8354430379746836,0.06856540084388185,0.032700421940928266,0.8734177215189873,0.45569620253164556,0.3291139240506329
-130.672549,158,82.140397,16.0,0.8987341772151899,0.06645569620253164,0.05485232067510548,0.8481012658227848,0.43037974683544306,0.27848101265822783
-111.955827,158,85.081736,4.0,0.9746835443037974,0.06329113924050633,0.06329113924050633,0.8164556962025317,0.4873417721518987,0.3037974683544304
-124.213189,158,88.060488,10.0,0.9367088607594937,0.06329113924050633,0.06329113924050633,0.8291139240506329,0.3987341772151899,0.22784810126582278
-127.211245,158,91.105331,71.0,0.5647679324894515,0.08966244725738397,0.05647980711271851,0.8164556962025317,0.34177215189873417,0.15822784810126583
-125.528901,158,94.113513,14.0,0.9113924050632911,0.06645569620253164,0.05485232067510548,0.8607594936708861,0.36075949367088606,0.22151898734177214
-198.324824,158,97.067051,23.0,0.8575949367088608,0.07278481012658228,0.06763110307414105,0.810126582278481,0.37341772151898733,0.18354430379746836
-152.822007,158,100.260677,9.0,0.9451476793248944,0.06540084388185653,0.0590717299578059,0.8987341772151899,0.310126582278481,0.2088607594936709
-186.798306,158,103.23481,14.0,0.9113924050632911,0.06329113924050633,0.056962025316455694,0.8354430379746836,0.310126582278481,0.14556962025316456
-144.588332,158,106.242986,18.0,0.8926160337552742,0.07067510548523206,0.06993670886075949,0.8417721518987342,0.3227848101265823,0.16455696202531644
-208.929934,158,109.24936,25.0,0.8470464135021096,0.07278481012658228,0.057383966244725734,0.8481012658227848,0.2974683544303797,0.14556962025316456
-174.324941,158,112.23011,27.0,0.8364978902953588,0.07278481012658228,0.05221518987341772,0.8037974683544303,0.3924050632911392,0.1962025316455696
-251.96422,158,115.240435,38.0,0.7663502109704641,0.07489451476793248,0.02679324894514768,0.8037974683544303,0.34177215189873417,0.14556962025316456
-223.151962,158,118.226793,20.0,0.8746835443037974,0.06540084388185653,0.03322784810126582,0.8227848101265823,0.3037974683544304,0.12658227848101267
-281.962913,158,121.222205,16.0,0.90084388185654,0.06645569620253164,0.06582278481012659,0.8417721518987342,0.2911392405063291,0.13291139240506328
-235.091819,158,124.206359,28.0,0.8280590717299577,0.06856540084388185,0.06856540084388185,0.8227848101265823,0.2974683544303797,0.12025316455696203
-251.271412,158,127.195745,28.0,0.8238396624472575,0.06540084388185653,0.05836849507735583,0.810126582278481,0.34810126582278483,0.15822784810126583
-281.183254,158,130.222777,58.0,0.640295358649789,0.07278481012658228,0.05527426160337552,0.7848101265822784,0.3291139240506329,0.11392405063291139
-197.026364,158,133.205311,30.0,0.8233122362869197,0.09071729957805906,0.07025316455696204,0.8164556962025317,0.31645569620253167,0.13291139240506328
-292.728178,158,136.199102,25.0,0.8459915611814346,0.07067510548523206,0.07172995780590717,0.7848101265822784,0.31645569620253167,0.10126582278481013
-335.113549,158,139.168556,19.0,0.8829113924050633,0.06645569620253164,0.060126582278481014,0.810126582278481,0.3227848101265823,0.13291139240506328
-334.45406,158,142.127886,39.0,0.7621308016877637,0.08122362869198312,0.07468354430379748,0.7911392405063291,0.3670886075949367,0.15822784810126583
-396.740848,158,145.121485,34.0,0.7943037974683544,0.07700421940928269,0.06118143459915611,0.7974683544303798,0.37341772151898733,0.17088607594936708
-379.694907,158,148.092521,38.0,0.7616033755274262,0.06645569620253164,0.04683544303797468,0.7974683544303798,0.310126582278481,0.10759493670886076
-402.153232,158,151.109519,31.0,0.8107142857142858,0.08544303797468354,0.07355836849507735,0.7974683544303798,0.31645569620253167,0.11392405063291139
-328.695548,158,154.112164,34.0,0.7883966244725739,0.0759493670886076,0.04980409885473176,0.8417721518987342,0.2721518987341772,0.11392405063291139
-298.410841,158,157.110636,31.0,0.8233122362869197,0.08227848101265822,0.0821880650994575,0.8607594936708861,0.24050632911392406,0.10126582278481013
-378.168114,158,160.086043,29.0,0.8212025316455697,0.06751054852320675,0.05497287522603978,0.8291139240506329,0.26582278481012656,0.0949367088607595
-392.315493,158,163.060237,17.0,0.8955696202531646,0.06645569620253164,0.05379746835443038,0.7911392405063291,0.310126582278481,0.10126582278481013
-421.606535,158,166.035539,20.0,0.875,0.0759493670886076,0.07215189873417721,0.7911392405063291,0.3037974683544304,0.0949367088607595
-479.2169,158,169.001167,13.0,0.9177215189873418,0.06329113924050633,0.06329113924050633,0.7974683544303798,0.31645569620253167,0.11392405063291139
-494.227527,158,171.916582,21.0,0.8718354430379747,0.07383966244725738,0.07151898734177216,0.8037974683544303,0.3037974683544304,0.10759493670886076
-460.36878,158,174.882158,28.0,0.8227848101265823,0.06540084388185653,0.06645569620253164,0.8164556962025317,0.2974683544303797,0.11392405063291139
-421.808309,158,177.861462,35.0,0.7858122362869199,0.08016877637130801,0.06983670338100718,0.8037974683544303,0.2911392405063291,0.0949367088607595
