#{"t_start": 1690581457.6445312, "env_id": "None"}
r,l,t,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
15.054764,150,15.841238,0.6166666666666667,0.013333333333333334,0.37866666666666665,0.47333333333333333,1.0,0.47333333333333333
38.297488,150,17.287631,0.6418888888888888,0.04666666666666667,0.3615555555555556,0.5666666666666667,1.0,0.5666666666666667
18.993234,150,18.738367,0.6633333333333333,0.02,0.34,0.5066666666666667,1.0,0.5066666666666667
48.791941,150,20.179573,0.6988888888888889,0.02,0.30777777777777776,0.5133333333333333,1.0,0.5133333333333333
16.196731,150,21.799806,0.64,0.006666666666666667,0.36666666666666664,0.44,1.0,0.44
19.924215,150,23.270854,0.5933333333333334,0.0,0.4066666666666667,0.49333333333333335,1.0,0.49333333333333335
