r,l,t,c,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
-53.572313,593,29.645851,195.0,0.6913595117642335,0.029669557536336624,0.023368299744651298,0.5075885328836425,1.0,0.5075885328836425
-67.744398,593,40.752475,184.0,0.7061270376616077,0.02444457828100324,0.024896398336533242,0.4671163575042159,1.0,0.4671163575042159
-105.487658,593,51.837377,207.0,0.6732032441981852,0.033341363526861,0.03468252751557979,0.4806070826306914,1.0,0.4806070826306914
-103.635338,593,62.981151,180.0,0.7094435075885329,0.022804411252977864,0.01986292702987475,0.3844856661045531,1.0,0.3844856661045531
-255.038261,593,74.055725,173.0,0.7197582911748173,0.023575309831633612,0.025900172527491248,0.23608768971332209,1.0,0.23608768971332209
-419.982606,593,85.113288,136.0,0.7795671725688589,0.01735726331004577,0.015863890653098074,0.12310286677908938,1.0,0.12310286677908938
-548.311523,593,96.499822,137.0,0.7817594154019113,0.020717899301373164,0.02127850601712322,0.10792580101180438,1.0,0.10792580101180438
-637.72537,593,107.70872,205.0,0.6751425359351161,0.02806017291683396,0.023923431328450675,0.08768971332209106,1.0,0.08768971332209106
-706.951744,593,118.959966,123.0,0.805902192242833,0.022568858909499723,0.012988753798197306,0.0657672849915683,1.0,0.0657672849915683
-605.655143,593,130.252479,221.0,0.6662450815064642,0.03651596670146417,0.03278910521743574,0.05396290050590219,1.0,0.05396290050590219
-816.729578,593,141.537376,214.0,0.6622982413876174,0.032684226023180496,0.02967127494952116,0.050590219224283306,1.0,0.050590219224283306
-947.230862,593,152.843457,154.0,0.7567453625632378,0.023476270778125752,0.020980116005411116,0.013490725126475547,1.0,0.013490725126475547
-1121.840973,593,164.1816,150.0,0.7617642335180278,0.024077196927112608,0.017695663901397457,0.00505902192242833,1.0,0.00505902192242833
-1209.491839,593,175.63274,221.0,0.6581713910971921,0.03715637463529538,0.032454345354851255,0.006745362563237774,1.0,0.006745362563237774
-1487.748541,593,186.916728,148.0,0.7849306726625445,0.03529738483364115,0.03565454594122385,0.008431703204047217,1.0,0.008431703204047217
-1746.151209,593,197.993707,123.0,0.8030635188308037,0.021097995128349263,0.0219600242365841,0.003372681281618887,1.0,0.003372681281618887
-1861.258512,593,209.190971,131.0,0.7904440697020798,0.02195722583580931,0.01358558061762109,0.0,1.0,0.0
-1828.068596,593,220.324159,131.0,0.7962659600096362,0.025763537567922056,0.02693233317179354,0.0,1.0,0.0
-1904.301921,593,231.624879,109.0,0.8286958965711073,0.020311036162638185,0.022722480816915892,0.00505902192242833,1.0,0.00505902192242833
-1963.642329,593,242.727206,112.0,0.8272906127037661,0.01949730988516823,0.021998303364239285,0.0016863406408094434,1.0,0.0016863406408094434
-1905.315825,593,254.003455,160.0,0.7438890227254477,0.020240102786477157,0.017200384401058935,0.0,1.0,0.0
