#{"t_start": 1691278398.2100797, "env_id": "None"}
r,l,t,c,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
-24.387652,158,21.794088,59.0,0.6339662447257385,0.07700421940928269,0.02123769338959212,0.9177215189873418,0.5949367088607594,0.5126582278481012
-11.018469,158,24.853932,53.0,0.6827004219409283,0.08438818565400844,0.0720464135021097,0.8481012658227848,0.6455696202531646,0.4936708860759494
-24.9614,158,27.800662,48.0,0.7014767932489451,0.0759493670886076,0.06751054852320675,0.8860759493670886,0.6455696202531646,0.5316455696202531
-2.432902,158,30.794237,56.0,0.6524261603375529,0.07700421940928269,0.05569620253164556,0.8924050632911392,0.6012658227848101,0.4936708860759494
4.03352,158,33.75848,56.0,0.6566455696202531,0.09282700421940927,0.06952983725135622,0.8860759493670886,0.6265822784810127,0.5126582278481012
-17.514705,158,36.735526,58.0,0.6415611814345992,0.07911392405063292,0.04864376130198914,0.8481012658227848,0.6455696202531646,0.4936708860759494
-0.08318,158,39.712981,51.0,0.6872362869198312,0.07647679324894514,0.04168173598553345,0.8607594936708861,0.689873417721519,0.5506329113924051
-16.771789,158,42.659414,55.0,0.6575949367088608,0.07911392405063292,0.07154912597950573,0.9050632911392406,0.6139240506329114,0.5189873417721519
-2.825323,158,45.628313,52.0,0.6835443037974683,0.08544303797468354,0.057172995780590714,0.8924050632911392,0.6392405063291139,0.5316455696202531
-11.968313,158,48.594409,57.0,0.6429324894514767,0.07700421940928269,0.0482218203737191,0.8670886075949367,0.6518987341772152,0.5189873417721519
-28.279421,158,51.59803,62.0,0.6244725738396624,0.08333333333333333,0.05864978902953586,0.9050632911392406,0.569620253164557,0.47468354430379744
-6.632726,158,54.524925,55.0,0.6645569620253164,0.08333333333333333,0.04936708860759494,0.8544303797468354,0.5822784810126582,0.43670886075949367
-21.074251,158,57.48732,51.0,0.6909282700421943,0.08649789029535865,0.06476793248945147,0.8607594936708861,0.6012658227848101,0.4620253164556962
-28.169144,158,60.415335,39.0,0.7552742616033755,0.07120253164556962,0.056329113924050635,0.930379746835443,0.5,0.43037974683544306
-31.869446,158,63.38624,47.0,0.7067510548523206,0.07489451476793248,0.056751054852320675,0.9050632911392406,0.5189873417721519,0.4240506329113924
-53.492678,158,66.439624,55.0,0.6608649789029535,0.08438818565400844,0.06024713682941531,0.8670886075949367,0.47468354430379744,0.34177215189873417
-62.867983,158,69.400911,47.0,0.7050632911392405,0.07067510548523206,0.07067510548523206,0.8924050632911392,0.45569620253164556,0.34810126582278483
-94.15857,158,72.413481,35.0,0.7879746835443038,0.08016877637130801,0.07468354430379748,0.8860759493670886,0.41139240506329117,0.2974683544303797
-86.607155,158,75.336222,34.0,0.7909885473176613,0.07278481012658228,0.06666666666666667,0.8544303797468354,0.4873417721518987,0.34177215189873417
-108.444615,158,78.275797,27.0,0.8350914205344586,0.07172995780590717,0.05705792098197162,0.8481012658227848,0.47468354430379744,0.3227848101265823
-112.111813,158,81.199897,30.0,0.8131404460518384,0.07278481012658228,0.06107594936708861,0.8607594936708861,0.44936708860759494,0.310126582278481
-150.559316,158,84.14273,64.0,0.6028481012658228,0.07700421940928269,0.05147679324894514,0.8354430379746836,0.43037974683544306,0.26582278481012656
-102.173561,158,87.098274,63.0,0.6188818565400844,0.12552742616033755,0.092209162145871,0.8417721518987342,0.45569620253164556,0.2974683544303797
-142.855951,158,90.047935,49.0,0.689873417721519,0.06329113924050633,0.05063291139240506,0.8227848101265823,0.37341772151898733,0.1962025316455696
-200.243165,158,93.032483,67.0,0.5875527426160339,0.0780590717299578,0.057082579867389995,0.8417721518987342,0.33544303797468356,0.17721518987341772
-129.424984,158,96.022386,24.0,0.8560126582278481,0.08016877637130802,0.077124773960217,0.8544303797468354,0.3924050632911392,0.2468354430379747
-186.164874,158,98.977723,28.0,0.8301687763713079,0.07172995780590717,0.052109704641350216,0.7974683544303798,0.3670886075949367,0.16455696202531644
-236.227355,158,101.929273,39.0,0.7628691983122363,0.08544303797468354,0.07353827606992164,0.8291139240506329,0.37341772151898733,0.20253164556962025
-204.958419,158,105.182444,66.0,0.6081223628691984,0.08755274261603375,0.05147679324894514,0.8417721518987342,0.3037974683544304,0.14556962025316456
-222.044203,158,108.149266,40.0,0.7552742616033756,0.07172995780590717,0.06540084388185653,0.8354430379746836,0.27848101265822783,0.11392405063291139
-190.466066,158,111.091335,32.0,0.8006329113924051,0.06540084388185653,0.059493670886075954,0.8037974683544303,0.3987341772151899,0.20253164556962025
-151.127473,158,114.043109,26.0,0.8375527426160336,0.06962025316455696,0.060126582278481014,0.8417721518987342,0.379746835443038,0.22151898734177214
-235.124373,158,117.034809,42.0,0.7357594936708861,0.06645569620253164,0.02742616033755274,0.8670886075949367,0.2911392405063291,0.15822784810126583
-228.584619,158,120.033185,29.0,0.8164556962025317,0.06329113924050633,0.02531645569620253,0.8227848101265823,0.2848101265822785,0.10759493670886076
-268.654012,158,123.029868,61.0,0.6267932489451477,0.08016877637130801,0.04210367691380349,0.8291139240506329,0.31645569620253167,0.14556962025316456
-170.714525,158,125.974828,38.0,0.7689873417721519,0.08755274261603375,0.03704038577456299,0.8607594936708861,0.2848101265822785,0.14556962025316456
-260.696935,158,128.96688,26.0,0.8422995780590716,0.07383966244725738,0.04514767932489451,0.8607594936708861,0.2911392405063291,0.1518987341772152
-223.518804,158,131.935346,22.0,0.8628691983122362,0.06540084388185653,0.04641350210970464,0.8417721518987342,0.2848101265822785,0.12658227848101267
-252.13372,158,134.874231,27.0,0.831223628691983,0.06645569620253164,0.04683544303797468,0.8354430379746836,0.2721518987341772,0.10759493670886076
-264.370026,158,137.77266,34.0,0.7955696202531646,0.08227848101265822,0.057504520795660034,0.8354430379746836,0.2721518987341772,0.10759493670886076
-326.532077,158,324.237776,43.0,0.7415611814345991,0.08913502109704641,0.07679324894514768,0.8481012658227848,0.2721518987341772,0.12025316455696203
-340.080087,158,327.235616,46.0,0.7104430379746836,0.06962025316455696,0.06329113924050633,0.8354430379746836,0.2848101265822785,0.12025316455696203
-383.721185,158,330.197381,26.0,0.8354430379746836,0.06329113924050633,0.06329113924050633,0.8354430379746836,0.2974683544303797,0.13291139240506328
-407.717799,158,333.166862,37.0,0.7742616033755275,0.08860759493670886,0.08154008438818565,0.7974683544303798,0.3037974683544304,0.10126582278481013
-404.406383,158,336.168794,43.0,0.7310126582278481,0.06540084388185653,0.04683544303797468,0.8164556962025317,0.27848101265822783,0.0949367088607595
-447.290109,158,339.160266,42.0,0.7457805907172996,0.0780590717299578,0.07185051235684146,0.7974683544303798,0.2848101265822785,0.08227848101265822
-427.169455,158,342.147619,48.0,0.7009493670886076,0.07067510548523206,0.039783001808318265,0.7911392405063291,0.27848101265822783,0.06962025316455696
-442.278429,158,345.115182,48.0,0.7199367088607594,0.0970464135021097,0.05780590717299578,0.7911392405063291,0.2974683544303797,0.08860759493670886
-435.377336,158,348.108696,42.0,0.7496835443037975,0.08544303797468354,0.0642555756479807,0.7974683544303798,0.2721518987341772,0.06962025316455696
-452.289877,158,351.080102,42.0,0.739451476793249,0.07278481012658228,0.0510548523206751,0.7911392405063291,0.3037974683544304,0.0949367088607595
-469.635493,158,354.057001,28.0,0.8227848101265823,0.06329113924050633,0.012658227848101266,0.7911392405063291,0.2848101265822785,0.0759493670886076
-505.140338,158,357.045106,28.0,0.8282700421940928,0.07383966244725738,0.06024713682941531,0.7911392405063291,0.2721518987341772,0.06329113924050633
-447.127444,158,360.030197,36.0,0.7790084388185654,0.07489451476793248,0.04345991561181435,0.7974683544303798,0.2721518987341772,0.06962025316455696
-458.30518,158,362.99582,32.0,0.8048523206751054,0.07278481012658228,0.05218002812939521,0.8164556962025317,0.2848101265822785,0.10126582278481013
-481.963466,158,365.97665,25.0,0.8438818565400843,0.06540084388185653,0.046413502109704644,0.7974683544303798,0.2721518987341772,0.06962025316455696
-526.994252,158,368.90246,18.0,0.8860759493670886,0.06329113924050633,0.056962025316455694,0.8037974683544303,0.2848101265822785,0.08860759493670886
-532.408203,158,371.860595,24.0,0.8502109704641349,0.06540084388185653,0.03375527426160337,0.7974683544303798,0.3227848101265823,0.12025316455696203
-540.990726,158,374.787723,34.0,0.7895569620253164,0.07278481012658228,0.04367088607594937,0.7848101265822784,0.25949367088607594,0.04430379746835443
-524.196183,158,377.735638,26.0,0.8398734177215189,0.07278481012658228,0.055907172995780595,0.810126582278481,0.27848101265822783,0.08860759493670886
-533.461675,158,380.692638,17.0,0.8924050632911392,0.06329113924050633,0.04430379746835443,0.8227848101265823,0.26582278481012656,0.08860759493670886
-486.840694,158,383.672404,19.0,0.8825949367088607,0.0759493670886076,0.0679324894514768,0.810126582278481,0.24050632911392406,0.05063291139240506
-543.407137,158,386.593492,26.0,0.839662447257384,0.07278481012658228,0.05,0.810126582278481,0.2468354430379747,0.056962025316455694
-544.088644,158,389.551034,26.0,0.8354430379746836,0.06329113924050633,0.056962025316455694,0.8227848101265823,0.26582278481012656,0.08860759493670886
-541.322804,158,392.518222,26.0,0.8407172995780592,0.07172995780590717,0.056962025316455694,0.7848101265822784,0.25949367088607594,0.04430379746835443
-542.47179,158,395.524296,37.0,0.7674050632911392,0.06856540084388185,0.018685955394816153,0.7911392405063291,0.26582278481012656,0.056962025316455694
-526.467672,158,398.517098,36.0,0.7784810126582279,0.07278481012658228,0.032700421940928266,0.7911392405063291,0.2468354430379747,0.0379746835443038
-497.249776,158,401.516379,26.0,0.8354430379746836,0.06329113924050633,0.056962025316455694,0.810126582278481,0.2468354430379747,0.056962025316455694
-542.147472,158,404.489464,20.0,0.8755274261603374,0.06962025316455696,0.04113924050632911,0.8037974683544303,0.2468354430379747,0.05063291139240506
-537.451628,158,407.448797,23.0,0.8544303797468354,0.06329113924050633,0.05063291139240506,0.7974683544303798,0.24050632911392406,0.0379746835443038
-522.659608,158,410.431881,33.0,0.7936708860759494,0.06751054852320675,0.03481012658227848,0.810126582278481,0.2468354430379747,0.056962025316455694
-513.178814,158,413.425363,22.0,0.8607594936708861,0.06329113924050633,0.05063291139240506,0.810126582278481,0.25316455696202533,0.06329113924050633
-545.867046,158,416.384999,25.0,0.8417721518987342,0.06329113924050633,0.04430379746835443,0.810126582278481,0.2468354430379747,0.056962025316455694
-543.548216,158,419.289886,26.0,0.8375527426160339,0.06856540084388185,0.05063291139240506,0.7911392405063291,0.24050632911392406,0.03164556962025317
-538.768075,158,422.251869,28.0,0.8270042194092828,0.06856540084388185,0.06160337552742617,0.8164556962025317,0.2468354430379747,0.06329113924050633
-547.669861,158,425.239919,24.0,0.8481012658227848,0.06329113924050633,0.056962025316455694,0.810126582278481,0.24050632911392406,0.05063291139240506
-535.59076,158,428.159423,22.0,0.8678270042194093,0.07172995780590717,0.07061985131605385,0.8037974683544303,0.2468354430379747,0.05063291139240506
-532.410662,158,431.174657,24.0,0.8549578059071729,0.08016877637130801,0.06974080771549127,0.7911392405063291,0.25316455696202533,0.04430379746835443
-546.433025,158,434.268872,31.0,0.8037974683544303,0.06329113924050633,0.05063291139240506,0.7721518987341772,0.25316455696202533,0.02531645569620253
-529.759525,158,437.253435,35.0,0.7784810126582279,0.06329113924050633,0.03164556962025317,0.7784810126582279,0.24050632911392406,0.0189873417721519
-522.742697,158,440.257268,27.0,0.8401898734177216,0.0780590717299578,0.07185051235684148,0.7848101265822784,0.25316455696202533,0.0379746835443038
-550.75906,158,443.279925,30.0,0.8132911392405063,0.06856540084388185,0.0510548523206751,0.7721518987341772,0.25316455696202533,0.02531645569620253
-551.811657,158,446.273601,31.0,0.805379746835443,0.06962025316455696,0.06329113924050633,0.7721518987341772,0.25316455696202533,0.02531645569620253
-540.518051,158,449.298056,27.0,0.8322784810126582,0.06540084388185653,0.04050632911392405,0.7721518987341772,0.24050632911392406,0.012658227848101266
-564.88256,158,452.388474,36.0,0.7763713080168776,0.07172995780590717,0.05949367088607594,0.7784810126582279,0.25949367088607594,0.0379746835443038
-532.36811,158,455.386447,41.0,0.7455168776371308,0.07278481012658228,0.05063291139240506,0.7784810126582279,0.2468354430379747,0.02531645569620253
-532.931391,158,458.386086,28.0,0.8296413502109703,0.0759493670886076,0.05316455696202531,0.7721518987341772,0.25949367088607594,0.03164556962025317
-539.017236,158,461.658674,48.0,0.7083333333333334,0.07911392405063292,0.03881856540084388,0.7721518987341772,0.25316455696202533,0.02531645569620253
-555.196764,158,464.65266,31.0,0.805379746835443,0.06540084388185653,0.039783001808318265,0.7721518987341772,0.25316455696202533,0.02531645569620253
-553.596504,158,467.622613,22.0,0.8628691983122363,0.06962025316455696,0.04113924050632911,0.7721518987341772,0.25949367088607594,0.03164556962025317
-559.725392,158,470.591486,18.0,0.8881856540084387,0.06751054852320676,0.05977496483825598,0.7658227848101266,0.25949367088607594,0.02531645569620253
-541.188646,158,473.633955,28.0,0.8356540084388185,0.08016877637130801,0.058468957203134414,0.7721518987341772,0.24050632911392406,0.012658227848101266
-554.05961,158,476.592792,21.0,0.870253164556962,0.06751054852320675,0.06047819971870605,0.7911392405063291,0.25949367088607594,0.05063291139240506
-525.483942,158,479.587696,24.0,0.8575949367088608,0.0759493670886076,0.06751054852320675,0.7721518987341772,0.25316455696202533,0.02531645569620253
-545.931552,158,482.598366,29.0,0.8185654008438817,0.06540084388185653,0.06540084388185653,0.7721518987341772,0.25316455696202533,0.02531645569620253
-566.477173,158,485.581995,18.0,0.891350210970464,0.0780590717299578,0.07911392405063292,0.7721518987341772,0.24050632911392406,0.012658227848101266
-583.251609,158,488.572271,33.0,0.7969409282700421,0.07383966244725738,0.070042194092827,0.7658227848101266,0.24050632911392406,0.006329113924050633
-567.598182,158,491.580739,17.0,0.8976793248945146,0.06962025316455696,0.0689873417721519,0.7658227848101266,0.2468354430379747,0.012658227848101266
-559.20093,158,494.512671,24.0,0.8525316455696201,0.07067510548523206,0.07120253164556962,0.7658227848101266,0.24050632911392406,0.006329113924050633
-579.312077,158,497.44702,19.0,0.8829113924050633,0.06540084388185653,0.059493670886075954,0.7721518987341772,0.2468354430379747,0.0189873417721519
-580.229796,158,500.450404,16.0,0.9003164556962026,0.06645569620253164,0.05274261603375527,0.7658227848101266,0.24050632911392406,0.006329113924050633
-552.468373,158,503.557227,27.0,0.8306962025316456,0.06540084388185653,0.039783001808318265,0.759493670886076,0.27848101265822783,0.0379746835443038
-568.305687,158,506.549451,16.0,0.8987341772151899,0.06329113924050633,0.04430379746835443,0.7658227848101266,0.2468354430379747,0.012658227848101266
-566.545001,158,509.6359,14.0,0.9113924050632911,0.06329113924050633,0.05063291139240506,0.759493670886076,0.24050632911392406,0.0
-566.567677,158,512.618328,35.0,0.7827004219409283,0.06856540084388185,0.03621659634317862,0.759493670886076,0.24050632911392406,0.0
-563.166021,158,515.66678,40.0,0.754746835443038,0.07700421940928269,0.043670886075949364,0.7784810126582279,0.2468354430379747,0.02531645569620253
-560.763226,158,518.69077,36.0,0.7742616033755275,0.06751054852320675,0.043248945147679324,0.7658227848101266,0.24050632911392406,0.006329113924050633
-578.415222,158,521.653253,12.0,0.9240506329113924,0.06329113924050633,0.0379746835443038,0.759493670886076,0.25316455696202533,0.012658227848101266
-572.237791,158,524.577725,24.0,0.8509493670886076,0.06856540084388185,0.03533755274261603,0.7721518987341772,0.2468354430379747,0.0189873417721519
-576.158316,158,527.52545,11.0,0.930379746835443,0.06329113924050633,0.04430379746835443,0.7658227848101266,0.24050632911392406,0.006329113924050633
-572.070603,158,530.479083,18.0,0.8908227848101266,0.06856540084388185,0.04261603375527426,0.7721518987341772,0.24050632911392406,0.012658227848101266
-575.115537,158,533.396576,34.0,0.7889240506329114,0.06962025316455696,0.02396021699819168,0.759493670886076,0.24050632911392406,0.0
-575.601819,158,536.402442,36.0,0.7842827004219408,0.08122362869198312,0.04201326100060277,0.759493670886076,0.24050632911392406,0.0
-589.227171,158,539.381551,25.0,0.8438818565400843,0.06645569620253164,0.04683544303797468,0.759493670886076,0.24050632911392406,0.0
-605.043191,158,542.365502,23.0,0.8544303797468354,0.06329113924050633,0.04430379746835443,0.7658227848101266,0.24050632911392406,0.006329113924050633
-587.890257,158,545.342089,34.0,0.7911392405063291,0.07278481012658228,0.04535864978902953,0.7658227848101266,0.24050632911392406,0.006329113924050633
-570.297877,158,548.388611,35.0,0.7816455696202531,0.06645569620253164,0.04113924050632911,0.7658227848101266,0.2468354430379747,0.012658227848101266
-586.026609,158,551.365231,42.0,0.7341772151898734,0.06329113924050633,0.02531645569620253,0.7658227848101266,0.24050632911392406,0.006329113924050633
-590.072431,158,554.37263,28.0,0.8243670886075949,0.06645569620253164,0.03375527426160338,0.759493670886076,0.24050632911392406,0.0
-596.153782,158,557.337465,25.0,0.8417721518987342,0.06329113924050633,0.03164556962025317,0.759493670886076,0.24050632911392406,0.0
-604.07624,158,560.29562,22.0,0.8639240506329114,0.06645569620253164,0.028481012658227847,0.759493670886076,0.24050632911392406,0.0
-605.514005,158,563.242308,31.0,0.8080168776371307,0.06751054852320675,0.04219409282700422,0.7658227848101266,0.24050632911392406,0.006329113924050633
-605.430671,158,566.184458,30.0,0.8154008438818564,0.06856540084388185,0.055696202531645575,0.7658227848101266,0.24050632911392406,0.006329113924050633
-579.703175,158,569.116376,33.0,0.8024412296564195,0.07911392405063292,0.050421940928270036,0.759493670886076,0.24050632911392406,0.0
-574.466467,158,572.032017,20.0,0.8786919831223627,0.06856540084388185,0.05590717299578058,0.7658227848101266,0.24050632911392406,0.006329113924050633
-592.260981,158,574.984035,22.0,0.8607594936708861,0.07172995780590717,0.04746835443037975,0.7658227848101266,0.24050632911392406,0.006329113924050633
-581.004467,158,577.963349,28.0,0.8272151898734177,0.07067510548523206,0.04329917621056862,0.759493670886076,0.24050632911392406,0.0
-586.502312,158,580.919144,33.0,0.7934247538677919,0.07489451476793248,0.04726286371855992,0.7658227848101266,0.2468354430379747,0.012658227848101266
-579.287948,158,583.888542,41.0,0.7426763110307414,0.06856540084388185,0.04729254571026723,0.7658227848101266,0.2468354430379747,0.012658227848101266
-596.995207,158,586.886075,24.0,0.8493670886075949,0.0759493670886076,0.04008438818565401,0.759493670886076,0.25316455696202533,0.012658227848101266
-600.995443,158,589.897561,18.0,0.8918776371308016,0.07383966244725738,0.035161744022503515,0.759493670886076,0.24050632911392406,0.0
-609.712927,158,592.892649,24.0,0.8481012658227848,0.06329113924050633,0.04430379746835443,0.7658227848101266,0.24050632911392406,0.006329113924050633
-612.626664,158,595.866338,16.0,0.8987341772151899,0.06329113924050633,0.04430379746835443,0.7658227848101266,0.24050632911392406,0.006329113924050633
-598.033369,158,598.866836,15.0,0.9050632911392406,0.06540084388185653,0.04746835443037975,0.759493670886076,0.24050632911392406,0.0
-614.031002,158,601.800047,10.0,0.9367088607594937,0.06329113924050633,0.03164556962025317,0.759493670886076,0.24050632911392406,0.0
-603.590512,158,604.73844,18.0,0.8860759493670886,0.06329113924050633,0.04430379746835443,0.759493670886076,0.24050632911392406,0.0
-606.326929,158,607.68511,16.0,0.9018987341772152,0.06645569620253164,0.03481012658227848,0.759493670886076,0.24050632911392406,0.0
-614.867445,158,610.64946,14.0,0.9113924050632911,0.06329113924050633,0.02531645569620253,0.7658227848101266,0.24050632911392406,0.006329113924050633
-613.762411,158,613.607823,15.0,0.9082278481012658,0.06645569620253164,0.05379746835443038,0.759493670886076,0.24050632911392406,0.0
-615.84959,158,616.579833,26.0,0.8354430379746836,0.06645569620253164,0.04852320675105485,0.759493670886076,0.24050632911392406,0.0
-605.280932,158,619.519747,23.0,0.8544303797468354,0.06329113924050633,0.056962025316455694,0.759493670886076,0.24050632911392406,0.0
-613.956562,158,622.495357,23.0,0.8544303797468354,0.06329113924050633,0.04430379746835443,0.759493670886076,0.24050632911392406,0.0
-591.967563,158,625.527839,35.0,0.7805907172995781,0.06645569620253164,0.04050632911392405,0.759493670886076,0.24050632911392406,0.0
-589.406487,158,628.540729,22.0,0.8607594936708861,0.06329113924050633,0.04430379746835443,0.759493670886076,0.2468354430379747,0.006329113924050633
-595.663482,158,631.541539,21.0,0.8670886075949367,0.06329113924050633,0.04430379746835443,0.759493670886076,0.24050632911392406,0.0
-609.849089,158,634.512743,20.0,0.8734177215189873,0.06329113924050633,0.05063291139240506,0.759493670886076,0.24050632911392406,0.0
-605.47479,158,637.472273,21.0,0.8698010849909585,0.06962025316455696,0.060759493670886074,0.7658227848101266,0.24050632911392406,0.006329113924050633
-616.103327,158,640.678654,29.0,0.8182640144665461,0.06751054852320675,0.059493670886075954,0.759493670886076,0.24050632911392406,0.0
-586.899879,158,643.684788,22.0,0.8623417721518988,0.06645569620253164,0.0590717299578059,0.759493670886076,0.24050632911392406,0.0
-614.046887,158,646.687669,24.0,0.8481012658227848,0.06329113924050633,0.04430379746835443,0.759493670886076,0.24050632911392406,0.0
-616.770263,158,649.670835,13.0,0.9177215189873418,0.06329113924050633,0.0379746835443038,0.759493670886076,0.24050632911392406,0.0
-621.358289,158,652.670265,19.0,0.879746835443038,0.06329113924050633,0.02531645569620253,0.759493670886076,0.24050632911392406,0.0
-605.544923,158,655.586934,23.0,0.8575949367088608,0.06645569620253164,0.04746835443037975,0.759493670886076,0.24050632911392406,0.0
-616.478741,158,658.545774,20.0,0.8734177215189873,0.06329113924050633,0.04430379746835443,0.759493670886076,0.2468354430379747,0.006329113924050633
-592.398864,158,661.480966,22.0,0.8670886075949367,0.07278481012658228,0.05168776371308016,0.759493670886076,0.2468354430379747,0.006329113924050633
-617.667053,158,664.454076,14.0,0.9113924050632911,0.06962025316455696,0.0590717299578059,0.759493670886076,0.24050632911392406,0.0
-592.614879,158,667.447168,26.0,0.8354430379746836,0.06329113924050633,0.04430379746835443,0.759493670886076,0.24050632911392406,0.0
-606.462362,158,670.444488,31.0,0.8069620253164557,0.06856540084388185,0.0510548523206751,0.759493670886076,0.25316455696202533,0.012658227848101266
-621.991716,158,673.465456,24.0,0.8481012658227848,0.06645569620253164,0.04852320675105485,0.759493670886076,0.24050632911392406,0.0
-578.750691,158,676.4432,25.0,0.8449367088607594,0.06645569620253164,0.028481012658227847,0.759493670886076,0.24050632911392406,0.0
-606.083406,158,679.439053,31.0,0.8050632911392406,0.06962025316455696,0.027426160337552748,0.7658227848101266,0.24050632911392406,0.006329113924050633
-603.38889,158,682.394987,33.0,0.7911392405063291,0.06329113924050633,0.006329113924050633,0.7658227848101266,0.2468354430379747,0.012658227848101266
-607.131023,158,685.377334,27.0,0.8291139240506329,0.06329113924050633,0.0379746835443038,0.7658227848101266,0.2468354430379747,0.012658227848101266
-590.866722,158,688.363355,22.0,0.8607594936708861,0.06329113924050633,0.03164556962025317,0.7658227848101266,0.24050632911392406,0.006329113924050633
-613.454956,158,691.305483,25.0,0.8417721518987342,0.06329113924050633,0.02531645569620253,0.759493670886076,0.25316455696202533,0.012658227848101266
-618.633479,158,694.288364,16.0,0.8987341772151899,0.06329113924050633,0.0379746835443038,0.759493670886076,0.24050632911392406,0.0
-614.934648,158,697.250166,25.0,0.8433544303797469,0.06540084388185653,0.027124773960216998,0.759493670886076,0.24050632911392406,0.0
-617.295891,158,700.223986,21.0,0.8686708860759493,0.06540084388185653,0.0461121157323689,0.7658227848101266,0.24050632911392406,0.006329113924050633
-618.941206,158,703.173127,23.0,0.8544303797468354,0.06329113924050633,0.03164556962025317,0.759493670886076,0.24050632911392406,0.0
-619.699958,158,706.12855,22.0,0.8607594936708861,0.06329113924050633,0.04430379746835443,0.759493670886076,0.24050632911392406,0.0
-617.718855,158,709.061009,22.0,0.8639240506329114,0.06540084388185653,0.059493670886075954,0.759493670886076,0.24050632911392406,0.0
-621.895632,158,712.031561,28.0,0.8248945147679324,0.06645569620253164,0.059493670886075954,0.7658227848101266,0.2468354430379747,0.012658227848101266
-623.526676,158,715.004721,21.0,0.8707805907172994,0.06856540084388185,0.06118143459915611,0.7658227848101266,0.2468354430379747,0.012658227848101266
-593.340665,158,718.009728,23.0,0.858649789029536,0.06962025316455696,0.055696202531645575,0.759493670886076,0.2468354430379747,0.006329113924050633
-624.138378,158,720.994024,21.0,0.870253164556962,0.06645569620253164,0.04113924050632911,0.759493670886076,0.24050632911392406,0.0
-617.610519,158,723.931682,26.0,0.839662447257384,0.06856540084388185,0.017229254571026722,0.759493670886076,0.2468354430379747,0.006329113924050633
-620.956239,158,726.91702,30.0,0.810126582278481,0.06329113924050633,0.0379746835443038,0.759493670886076,0.24050632911392406,0.0
-614.611511,158,729.924694,33.0,0.7943037974683544,0.06962025316455696,0.035864978902953586,0.759493670886076,0.25316455696202533,0.012658227848101266
-623.255883,158,732.934517,30.0,0.810126582278481,0.06329113924050633,0.03164556962025317,0.759493670886076,0.2468354430379747,0.006329113924050633
-622.984452,158,735.929012,31.0,0.8037974683544303,0.06645569620253164,0.04219409282700422,0.759493670886076,0.24050632911392406,0.0
-618.377682,158,738.931146,23.0,0.8586497890295358,0.06856540084388185,0.055274261603375535,0.759493670886076,0.24050632911392406,0.0
-609.003441,158,741.926918,22.0,0.8607594936708861,0.06329113924050633,0.0379746835443038,0.7658227848101266,0.24050632911392406,0.006329113924050633
-614.153155,158,744.905757,15.0,0.9082278481012658,0.06540084388185653,0.04050632911392405,0.759493670886076,0.24050632911392406,0.0
-614.139902,158,747.892466,20.0,0.8734177215189873,0.06329113924050633,0.04430379746835443,0.759493670886076,0.24050632911392406,0.0
-610.959137,158,750.859862,18.0,0.8881856540084387,0.06645569620253164,0.027848101265822787,0.7658227848101266,0.24050632911392406,0.006329113924050633
-621.18962,158,753.840014,21.0,0.870253164556962,0.06540084388185653,0.04050632911392405,0.7658227848101266,0.2468354430379747,0.012658227848101266
-624.510315,158,756.795298,16.0,0.9018987341772152,0.06751054852320675,0.03734177215189874,0.759493670886076,0.24050632911392406,0.0
-626.511154,158,759.783944,20.0,0.8765822784810127,0.06962025316455696,0.02953586497890295,0.759493670886076,0.2468354430379747,0.006329113924050633
-619.668185,158,762.763566,21.0,0.8670886075949367,0.06329113924050633,0.03164556962025317,0.7658227848101266,0.24050632911392406,0.006329113924050633
-619.998011,158,765.77886,26.0,0.8386075949367089,0.06645569620253164,0.028481012658227847,0.759493670886076,0.24050632911392406,0.0
-620.741666,158,768.757086,19.0,0.879746835443038,0.06329113924050633,0.05063291139240506,0.759493670886076,0.24050632911392406,0.0
-628.491952,158,771.666478,20.0,0.8734177215189873,0.06329113924050633,0.04430379746835443,0.759493670886076,0.24050632911392406,0.0
-624.633086,158,774.639559,25.0,0.8417721518987342,0.06329113924050633,0.0379746835443038,0.7658227848101266,0.24050632911392406,0.006329113924050633
-625.668911,158,777.645084,21.0,0.8670886075949367,0.06329113924050633,0.04430379746835443,0.759493670886076,0.24050632911392406,0.0
-608.222058,158,780.677973,17.0,0.8924050632911392,0.06329113924050633,0.0379746835443038,0.759493670886076,0.24050632911392406,0.0
-625.629216,158,783.706269,15.0,0.9050632911392406,0.06329113924050633,0.04430379746835443,0.759493670886076,0.24050632911392406,0.0
-623.041465,158,786.661475,16.0,0.9008438818565402,0.0680379746835443,0.06298975286317059,0.759493670886076,0.24050632911392406,0.0
