#{"t_start": 1691105108.9802191, "env_id": "None"}
r,l,t,c,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
-2.080951,158,22.489625,55.0,0.6592827004219408,0.08333333333333333,0.04789029535864979,0.879746835443038,0.6075949367088608,0.4873417721518987
3.821242,158,25.731535,56.0,0.6656118143459915,0.10548523206751055,0.0540084388185654,0.9113924050632911,0.6265822784810127,0.5379746835443038
-1.584938,158,28.97194,64.0,0.6012658227848101,0.07067510548523206,0.032067510548523206,0.8860759493670886,0.6582278481012658,0.5443037974683544
-4.390603,158,31.997329,61.0,0.6181434599156117,0.07172995780590717,0.04864376130198915,0.8544303797468354,0.6645569620253164,0.5189873417721519
-1.467655,158,35.039907,67.0,0.5970464135021097,0.09229957805907173,0.06381856540084388,0.8734177215189873,0.6329113924050633,0.5063291139240507
-15.306725,158,38.052425,45.0,0.7162447257383967,0.0759493670886076,0.05643459915611814,0.8670886075949367,0.6645569620253164,0.5316455696202531
0.305522,158,41.027538,50.0,0.6867088607594937,0.06962025316455696,0.06434599156118143,0.8544303797468354,0.7088607594936709,0.5632911392405063
-8.192999,158,44.197021,59.0,0.6265822784810127,0.06329113924050633,0.0379746835443038,0.8417721518987342,0.6772151898734177,0.5189873417721519
-12.176065,158,47.218041,57.0,0.6445147679324895,0.08122362869198312,0.07637130801687764,0.8544303797468354,0.620253164556962,0.47468354430379744
-0.435575,158,50.235454,65.0,0.6051687763713081,0.09599156118143459,0.06571729957805907,0.8734177215189873,0.6962025316455697,0.569620253164557
-27.915624,158,53.2889,57.0,0.6424050632911392,0.07383966244725738,0.04992967651195499,0.8607594936708861,0.5949367088607594,0.45569620253164556
-9.874634,158,56.300034,66.0,0.5959915611814346,0.0780590717299578,0.06666666666666665,0.8987341772151899,0.5822784810126582,0.4810126582278481
-11.578581,158,59.28841,48.0,0.710337552742616,0.09599156118143458,0.0681735985533454,0.9050632911392406,0.5506329113924051,0.45569620253164556
-44.042743,158,62.256292,54.0,0.6677215189873418,0.07489451476793248,0.06962025316455696,0.8924050632911392,0.5316455696202531,0.4240506329113924
-51.869061,158,65.240049,41.0,0.7531645569620253,0.0780590717299578,0.070042194092827,0.8924050632911392,0.4177215189873418,0.310126582278481
-75.315123,158,68.200782,32.0,0.8050632911392406,0.07172995780590717,0.06487341772151899,0.8607594936708861,0.4177215189873418,0.27848101265822783
-71.484513,158,71.184141,37.0,0.7658227848101266,0.06540084388185653,0.04113924050632911,0.8481012658227848,0.4240506329113924,0.2721518987341772
-73.193756,158,74.268963,33.0,0.798583484026522,0.0780590717299578,0.05921237693389592,0.8670886075949367,0.44936708860759494,0.31645569620253167
-99.3394,158,77.255043,48.0,0.7037974683544304,0.07383966244725738,0.06213080168776371,0.8734177215189873,0.41139240506329117,0.2848101265822785
-123.203332,158,80.242599,23.0,0.8575949367088608,0.06645569620253164,0.060126582278481014,0.8354430379746836,0.4430379746835443,0.27848101265822783
-120.343241,158,83.304096,26.0,0.8398734177215189,0.07964135021097046,0.06594333936106088,0.8291139240506329,0.4177215189873418,0.2468354430379747
-140.69674,158,86.370811,22.0,0.8607594936708861,0.06329113924050633,0.05063291139240506,0.8544303797468354,0.37341772151898733,0.22784810126582278
-179.726791,158,89.430105,36.0,0.7774261603375527,0.07225738396624472,0.07426160337552744,0.8607594936708861,0.33544303797468356,0.1962025316455696
-196.02046,158,92.508,38.0,0.7674050632911392,0.0780590717299578,0.02552742616033755,0.8481012658227848,0.3227848101265823,0.17088607594936708
-221.70957,158,95.549946,23.0,0.8544303797468354,0.06645569620253164,0.06118143459915611,0.8291139240506329,0.35443037974683544,0.18354430379746836
