#{"t_start": 1690829583.9587965, "env_id": "None"}
r,l,t,precision,recall,f1,sustain_precision,sustain_recall,sustain_f1
133.601277,593,21.323065,0.6365654862282182,0.024908321957225837,0.36329669955302335,0.49072512647554806,1.0,0.49072512647554806
120.007222,593,27.433573,0.661017425519955,0.025080971118070606,0.33106358696577914,0.4839797639123103,1.0,0.4839797639123103
164.14955,593,33.499968,0.6724283305227656,0.029260017666425758,0.311110016084721,0.5446880269814502,1.0,0.5446880269814502
198.064863,593,39.656003,0.6996908375491848,0.02633702722235606,0.30526659025815855,0.6104553119730185,1.0,0.6104553119730185
333.973795,593,45.784592,0.7572231590781338,0.025304478171257264,0.24034259725659388,0.7200674536256324,1.0,0.7200674536256324
402.177733,593,51.861746,0.7250983698707139,0.023666987874407772,0.27473680525957084,0.7959527824620574,1.0,0.7959527824620574
488.091504,593,57.785126,0.7355817875210793,0.02207165609357852,0.257718476015272,0.8431703204047217,1.0,0.8431703204047217
542.313476,593,63.742427,0.7787240022484542,0.018240584598088815,0.22697877352177523,0.8499156829679595,1.0,0.8499156829679595
592.698192,593,69.580249,0.8059302979201798,0.023889825744800447,0.19613191754844367,0.8954468802698144,1.0,0.8954468802698144
649.442225,593,75.518797,0.8080382237211916,0.014867903316469927,0.19006543391029057,0.9156829679595279,1.0,0.9156829679595279
721.021884,593,81.316611,0.8397976391231029,0.013506785513530876,0.16628255574292675,0.9527824620573356,1.0,0.9527824620573356
734.33836,593,87.045651,0.8496346261944914,0.014743435316791136,0.15745201959367222,0.9595278246205734,1.0,0.9595278246205734
777.466354,593,92.933091,0.8465430016863407,0.012563237774030355,0.15975267003934795,0.9527824620573356,1.0,0.9527824620573356
809.267332,593,98.845446,0.8803260258572231,0.015570545250140526,0.13286490537755294,0.9561551433389545,1.0,0.9561551433389545
853.681352,593,104.841685,0.8721753794266442,0.014689231510479402,0.1354586578869884,0.9747048903878583,1.0,0.9747048903878583
888.21657,593,110.751862,0.9114671163575042,0.012352445193929173,0.10035065178404133,0.9747048903878583,1.0,0.9747048903878583
913.384609,593,116.624836,0.9210792580101181,0.012507026419336707,0.08685992665756578,0.9780775716694773,1.0,0.9780775716694773
931.685755,593,122.558964,0.9443507588532883,0.012563237774030355,0.060065847586926846,0.9932546374367622,1.0,0.9932546374367622
940.765422,593,128.377123,0.9258010118043845,0.013350196739741426,0.08511202119971091,0.9865092748735245,1.0,0.9865092748735245
971.533043,593,134.140146,0.9780775716694773,0.011804384485666104,0.03372681281618887,0.9865092748735245,1.0,0.9865092748735245
956.515411,593,139.975267,0.9519392917369308,0.012366498032602586,0.0596964586846543,0.9915682967959528,1.0,0.9915682967959528
976.108148,593,145.789751,0.9685216413715569,0.012045290291496025,0.039123102866779086,0.984822934232715,1.0,0.984822934232715
986.430634,593,151.564163,0.9747048903878583,0.012141652613827993,0.037661607644744244,0.9983136593591906,1.0,0.9983136593591906
1001.423532,593,157.245752,0.9780775716694773,0.011804384485666104,0.03372681281618887,0.9966273187183811,1.0,0.9966273187183811
999.632135,593,162.930325,0.9747048903878583,0.012366498032602586,0.03794266441821248,0.9949409780775716,1.0,0.9949409780775716
1001.093995,593,168.602051,0.9751264755480608,0.012141652613827993,0.03578789582162263,0.9932546374367622,1.0,0.9932546374367622
1016.896098,593,174.297277,0.9519392917369308,0.012788083192804946,0.06037099494097807,0.9915682967959528,1.0,0.9915682967959528
1019.204009,593,180.153588,0.9443507588532883,0.011804384485666104,0.06745362563237774,0.9966273187183811,1.0,0.9966273187183811
964.978304,593,186.21099,0.9308600337268128,0.012624133408281805,0.08050147341884271,1.0,1.0,1.0
1040.844793,593,193.361827,0.9645868465430016,0.011804384485666104,0.047217537942664416,0.9949409780775716,1.0,0.9949409780775716
1044.332449,593,199.436574,0.9747048903878583,0.011804384485666104,0.03709949409780776,0.9983136593591906,1.0,0.9983136593591906
1064.173914,593,205.399591,0.9567172568858908,0.012141652613827993,0.05438448566610455,0.9983136593591906,1.0,0.9983136593591906
