train/n_updates,train/critic_loss,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/ent_coef,time/fps,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean
6198,0.19391502439975739,800.0,4,3200,0.4487486481666565,71,44,-483.11663818359375,313.42278525
12598,0.04299040511250496,800.0,8,6400,0.21686634421348572,82,77,-620.30126953125,536.86536575
18998,0.025526197627186775,800.0,12,9600,0.10656891763210297,87,109,-600.786376953125,718.2855820833333
