rollout/ep_len_mean,train/ent_coef,train/critic_loss,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/actor_loss,time/episodes,time/total_timesteps,train/n_updates
150.0,0.8652092218399048,2.133089065551758,16,36,25.61288775,-101.41914367675781,4,600,998
150.0,0.7348654866218567,0.3292096257209778,22,52,29.887170625,-219.67013549804688,8,1200,2198
150.0,0.6296913027763367,0.251400887966156,29,60,30.1069765,-319.1365661621094,12,1800,3398
150.0,0.5430192351341248,0.25502195954322815,36,66,38.6184260625,-399.624755859375,16,2400,4598
150.0,0.47042763233184814,0.19268032908439636,42,71,48.5272053,-464.0645751953125,20,3000,5798
150.0,0.40887197852134705,0.12507745623588562,48,74,60.414834625000005,-514.42578125,24,3600,6998
150.0,0.35619041323661804,0.08599739521741867,54,77,71.72810485714287,-553.382080078125,28,4200,8198
150.0,0.3107866048812866,0.0739060640335083,60,78,81.00562959375,-581.938720703125,32,4800,9398
150.0,0.2714609205722809,0.06010613590478897,66,80,90.06551061111111,-602.2801513671875,36,5400,10598
150.0,0.2372898906469345,0.052992355078458786,72,82,98.75988385,-615.721923828125,40,6000,11798
150.0,0.2075350433588028,0.043372925370931625,78,83,107.83109834090907,-623.173583984375,44,6600,12998
150.0,0.1815909445285797,0.03842664882540703,85,84,116.677058375,-626.010498046875,48,7200,14198
150.0,0.15893851220607758,0.03778044506907463,91,85,125.20530586538462,-624.89013671875,52,7800,15398
150.0,0.13916270434856415,0.03713435307145119,97,86,134.55861998214286,-620.7806396484375,56,8400,16598
150.0,0.12189959734678268,0.03678678348660469,103,86,143.68213623333335,-614.285888671875,60,9000,17798
150.0,0.1068250834941864,0.033296145498752594,109,87,151.97733449999998,-606.16259765625,64,9600,18998
150.0,0.09365034103393555,0.03775978088378906,116,87,160.333401617647,-596.5747680664062,68,10200,20198
150.0,0.08213508874177933,0.037013981491327286,122,88,168.52449530555558,-585.65771484375,72,10800,21398
150.0,0.07206312566995621,0.040684476494789124,128,88,176.43445284210526,-574.0372314453125,76,11400,22598
150.0,0.06326064467430115,0.038391388952732086,134,89,184.0523883,-562.15771484375,80,12000,23798
150.0,0.05556962266564369,0.04223080351948738,140,89,191.5842355238095,-549.555419921875,84,12600,24998
150.0,0.048845160752534866,0.037487052381038666,147,89,198.14114813636363,-537.1259765625,88,13200,26198
150.0,0.042968831956386566,0.046199504286050797,153,89,204.83410888043477,-524.6121826171875,92,13800,27398
150.0,0.03783518821001053,0.047405268996953964,159,90,211.37919752083334,-512.32568359375,96,14400,28598
150.0,0.03335779905319214,0.052697040140628815,166,90,217.56780729,-500.36407470703125,100,15000,29798
150.0,0.02942318469285965,0.052936919033527374,173,89,231.43849877,-488.90875244140625,104,15600,30998
150.0,0.025982286781072617,0.053721655160188675,179,90,245.03662260999994,-477.7005920410156,108,16200,32198
150.0,0.02294916845858097,0.05289473757147789,185,90,258.94201554000006,-467.10638427734375,112,16800,33398
150.0,0.020296521484851837,0.05251525714993477,191,90,271.42653108999997,-456.73077392578125,116,17400,34598
150.0,0.017977843061089516,0.058545924723148346,198,90,283.49776907999996,-447.0084533691406,120,18000,35798
150.0,0.015945449471473694,0.059469301253557205,204,90,294.77158704,-437.74053955078125,124,18600,36998
150.0,0.014158493839204311,0.0549652986228466,210,91,305.34301545,-429.45703125,128,19200,38198
150.0,0.012584079056978226,0.05244871973991394,217,91,315.75209407,-421.6861572265625,132,19800,39398
150.0,0.011187277734279633,0.04711064323782921,223,91,325.64470035,-414.05853271484375,136,20400,40598
150.0,0.009967688471078873,0.04465941712260246,229,91,334.90018258000003,-407.01824951171875,140,21000,41798
150.0,0.008906486444175243,0.051190465688705444,236,91,343.23695578999997,-400.8101501464844,144,21600,42998
150.0,0.007972786203026772,0.051842834800481796,242,91,351.11487830000004,-394.550048828125,148,22200,44198
150.0,0.007131569553166628,0.04998086765408516,248,91,358.38849109,-389.68121337890625,152,22800,45398
150.0,0.0063881780952215195,0.046720050275325775,254,91,364.9108542699999,-384.2201232910156,156,23400,46598
150.0,0.005742155015468597,0.04530182480812073,261,91,370.81932434000004,-379.34869384765625,160,24000,47798
150.0,0.005173669662326574,0.052498526871204376,268,91,376.51090402999995,-375.00103759765625,164,24600,48998
150.0,0.0046776533126831055,0.047681815922260284,274,91,381.71957978,-371.1540832519531,168,25200,50198
150.0,0.004233448766171932,0.043345388025045395,280,91,386.7333063600001,-367.1231384277344,172,25800,51398
150.0,0.0038645239546895027,0.04975688084959984,287,91,390.70969683000004,-364.042724609375,176,26400,52598
150.0,0.0035424837842583656,0.049610160291194916,294,91,394.38607378,-360.7435302734375,180,27000,53798
150.0,0.0032511253375560045,0.05050559341907501,300,91,397.69607787999996,-358.1735534667969,184,27600,54998
150.0,0.003009191947057843,0.050387293100357056,306,91,401.38093591999996,-355.2546691894531,188,28200,56198
150.0,0.002797570312395692,0.04343448206782341,312,92,404.62459576999987,-352.82562255859375,192,28800,57398
150.0,0.0026248679496347904,0.04650018364191055,319,92,407.71385681999993,-350.711669921875,196,29400,58598
150.0,0.002517404966056347,0.04667909815907478,326,91,410.96360234,-348.611083984375,200,30000,59798
150.0,0.00244816648773849,0.04370869696140289,332,92,413.94255045000006,-346.735107421875,204,30600,60998
150.0,0.0024120151065289974,0.043886519968509674,338,92,416.55381922,-344.99859619140625,208,31200,62198
150.0,0.002401162637397647,0.040674228221178055,345,92,418.86084202,-343.3538818359375,212,31800,63398
150.0,0.0024338753428310156,0.051993872970342636,352,92,421.87305522,-342.00567626953125,216,32400,64598
