time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,time/episodes,rollout/ep_len_mean,time/fps,train/critic_loss,train/actor_loss
64200,0.0022926568053662777,656,450.5573886600001,128198,428,150.0,97,0.05173955485224724,-317.73187255859375
64800,0.0022947622928768396,662,451.01664945,129398,432,150.0,97,0.05569930374622345,-317.7884521484375
65400,0.002269125310704112,668,451.25503100000003,130598,436,150.0,97,0.05348684638738632,-317.5367431640625
66000,0.002255514729768038,675,451.58321382,131798,440,150.0,97,0.055847104638814926,-318.04595947265625
66600,0.002341292565688491,681,452.16522978,132998,444,150.0,97,0.05051976442337036,-317.9288635253906
67200,0.002354690805077553,687,452.6497109400001,134198,448,150.0,97,0.051300935447216034,-317.6993408203125
67800,0.0024013195652514696,693,452.88022725,135398,452,150.0,97,0.05304684117436409,-317.50775146484375
68400,0.0022680361289530993,699,453.35843885,136598,456,150.0,97,0.046265020966529846,-317.6627502441406
69000,0.002312837401404977,705,453.90025883000004,137798,460,150.0,97,0.052703700959682465,-318.2010498046875
69600,0.002305144676938653,711,454.45897218,138998,464,150.0,97,0.053704097867012024,-318.0198059082031
70200,0.002336184959858656,717,454.93039396,140198,468,150.0,97,0.05340345948934555,-318.17578125
70800,0.002274454105645418,723,456.08417646000004,141398,472,150.0,97,0.04729000851511955,-318.45477294921875
71400,0.002289745258167386,728,456.3579756799999,142598,476,150.0,97,0.04592036455869675,-318.901611328125
72000,0.0022470750845968723,734,457.200089,143798,480,150.0,97,0.051921695470809937,-318.50787353515625
72600,0.0022349036298692226,741,458.65623694999994,144998,484,150.0,97,0.05215296894311905,-318.9625244140625
73200,0.0022596605122089386,747,459.36931807,146198,488,150.0,97,0.04978753998875618,-318.7864990234375
73800,0.0022729516495019197,753,459.40066278,147398,492,150.0,97,0.047028977423906326,-318.9830627441406
74400,0.0023679828736931086,759,460.14619715000003,148598,496,150.0,97,0.05535385012626648,-319.34130859375
75000,0.002319605555385351,765,460.71337215000005,149798,500,150.0,97,0.05209716409444809,-319.2083435058594
75600,0.002361369552090764,771,461.28969227999994,150998,504,150.0,97,0.05035857856273651,-319.5460205078125
76200,0.0023452613968402147,777,462.46540556,152198,508,150.0,97,0.053452204912900925,-319.48419189453125
76800,0.002340588252991438,783,462.69421026000003,153398,512,150.0,98,0.053524527698755264,-319.9114074707031
77400,0.0023388531990349293,789,463.09149515999997,154598,516,150.0,98,0.045962002128362656,-320.4500732421875
78000,0.002338770776987076,795,463.27222151,155798,520,150.0,98,0.051806725561618805,-320.2080993652344
78600,0.0023014259058982134,801,463.31371999000004,156998,524,150.0,98,0.05750705301761627,-320.46600341796875
79200,0.002258352702483535,807,463.208874,158198,528,150.0,98,0.055148813873529434,-320.71112060546875
79800,0.0022816406562924385,813,463.43795233,159398,532,150.0,98,0.051956091076135635,-320.7032470703125
80400,0.0023618247359991074,819,463.88268661,160598,536,150.0,98,0.04397359490394592,-320.93017578125
81000,0.0023004680406302214,825,464.24994389,161798,540,150.0,98,0.045450128614902496,-321.5167236328125
81600,0.00230725621804595,831,464.89373902999995,162998,544,150.0,98,0.047695234417915344,-321.64910888671875
82200,0.0022975639440119267,837,465.23125637,164198,548,150.0,98,0.04813840612769127,-321.75299072265625
82800,0.002289833500981331,843,465.52531827999996,165398,552,150.0,98,0.04513333737850189,-321.8160095214844
83400,0.002279149368405342,849,465.92594556999995,166598,556,150.0,98,0.04995031654834747,-322.04815673828125
84000,0.0022941790521144867,855,466.3176543000001,167798,560,150.0,98,0.049314357340335846,-322.1645202636719
84600,0.00231693172827363,861,466.78347969000004,168998,564,150.0,98,0.04977085813879967,-322.6554260253906
85200,0.0023346359375864267,867,467.07055497999994,170198,568,150.0,98,0.052938636392354965,-322.6769714355469
85800,0.00244732853025198,872,467.20702980000004,171398,572,150.0,98,0.04933668673038483,-323.0899658203125
86400,0.002389954635873437,878,467.62182651999996,172598,576,150.0,98,0.05403643846511841,-323.40087890625
87000,0.002370151923969388,884,467.7286715099999,173798,580,150.0,98,0.052562862634658813,-323.6440124511719
87600,0.0023200414143502712,890,467.59943100000004,174998,584,150.0,98,0.052551351487636566,-323.80841064453125
