time/fps,train/critic_loss,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/ent_coef,train/actor_loss
97,0.03192976489663124,456,150.0,68400,369.3874243800001,704,936398,0.0019494451116770506,-258.950927734375
97,0.030229274183511734,460,150.0,69000,369.63158341,710,937598,0.0018633215222507715,-259.05511474609375
97,0.02629128471016884,464,150.0,69600,369.8183311199999,716,938798,0.0019209577003493905,-259.3267822265625
97,0.03286648541688919,468,150.0,70200,370.60890395999996,722,939998,0.0019384819315746427,-259.1918029785156
97,0.029763774946331978,472,150.0,70800,370.94611245999994,729,941198,0.001985197653993964,-259.1676940917969
97,0.035297174006700516,476,150.0,71400,370.89608619000006,735,942398,0.0019437135197222233,-259.13812255859375
97,0.03278397396206856,480,150.0,72000,370.67527406,741,943598,0.001990997465327382,-259.13275146484375
97,0.02855493314564228,484,150.0,72600,370.84159974999994,747,944798,0.0018955249106511474,-259.29876708984375
97,0.026121703907847404,488,150.0,73200,370.83973205999996,753,945998,0.0018600430339574814,-259.04705810546875
97,0.029583867639303207,492,150.0,73800,371.01800841999994,759,947198,0.0018625041702762246,-259.0309753417969
97,0.02784935012459755,496,150.0,74400,370.88965982,765,948398,0.001858772593550384,-259.24853515625
97,0.029221324250102043,500,150.0,75000,371.13922908,771,949598,0.0018906114855781198,-259.0381164550781
97,0.03117961809039116,504,150.0,75600,371.22400029999994,777,950798,0.0018594666616991162,-258.72100830078125
97,0.027296489104628563,508,150.0,76200,371.4141765899999,783,951998,0.001839829608798027,-259.0294189453125
97,0.026814749464392662,512,150.0,76800,372.08343913000004,790,953198,0.0018183272331953049,-259.0456237792969
97,0.025681832805275917,516,150.0,77400,372.46113929000006,796,954398,0.0018064753385260701,-259.0208740234375
97,0.027690868824720383,520,150.0,78000,372.69888643999997,802,955598,0.00179668131750077,-259.1347351074219
97,0.028824198991060257,524,150.0,78600,372.57379827,808,956798,0.0018730339361354709,-259.1385498046875
97,0.02916746772825718,528,150.0,79200,372.13113935999996,814,957998,0.0018269320717081428,-258.9284362792969
97,0.029388613998889923,532,150.0,79800,372.10647851,821,959198,0.001833828049711883,-258.8662414550781
97,0.030851086601614952,536,150.0,80400,371.83447570000004,827,960398,0.0018249269342049956,-258.8374328613281
97,0.02963801845908165,540,150.0,81000,372.1177759599999,833,961598,0.0018364769639447331,-258.75341796875
97,0.028459399938583374,544,150.0,81600,372.49522623000007,839,962798,0.0018369086319580674,-258.8111267089844
97,0.029113268479704857,548,150.0,82200,372.73722391999996,845,963998,0.0018292107852175832,-258.8966064453125
97,0.02718021534383297,552,150.0,82800,373.03984997,851,965198,0.0018217822071164846,-258.91961669921875
97,0.025171741843223572,556,150.0,83400,373.7937572900001,858,966398,0.0018388788448646665,-259.119873046875
97,0.025176847353577614,560,150.0,84000,373.99757561000007,864,967598,0.001804047031328082,-259.1228942871094
97,0.03010198287665844,564,150.0,84600,374.0315054800001,870,968798,0.0017949540633708239,-258.9420471191406
97,0.026783345267176628,568,150.0,85200,374.12350992000006,876,969998,0.0017631128430366516,-259.06298828125
97,0.030251754447817802,572,150.0,85800,374.3542397599999,882,971198,0.0017471496248617768,-258.9700927734375
97,0.03124314174056053,576,150.0,86400,374.7874747500001,888,972398,0.001767431851476431,-259.2547607421875
97,0.03630761429667473,580,150.0,87000,374.74233922999997,894,973598,0.0018286464037373662,-259.02313232421875
97,0.02768603339791298,584,150.0,87600,374.66035662999997,900,974798,0.001838403637520969,-259.1852111816406
97,0.034897468984127045,588,150.0,88200,374.98877996000004,906,975998,0.0018359743990004063,-259.2327880859375
97,0.029491815716028214,592,150.0,88800,374.94400232999993,912,977198,0.0017938674427568913,-259.0260009765625
97,0.029382403939962387,596,150.0,89400,375.5282295599999,918,978398,0.0018046217737719417,-258.96942138671875
97,0.034368015825748444,600,150.0,90000,375.5228820300001,924,979598,0.001788548775948584,-258.87176513671875
97,0.028424451127648354,604,150.0,90600,375.81903242,930,980798,0.0017681897152215242,-258.9974060058594
97,0.03069552592933178,608,150.0,91200,376.15668576999997,936,981998,0.0017398570198565722,-259.42681884765625
97,0.028709758073091507,612,150.0,91800,376.4183947899999,942,983198,0.0017227648058906198,-259.26202392578125
97,0.030997002497315407,616,150.0,92400,376.29101506000006,949,984398,0.0017305295914411545,-258.8289489746094
97,0.02784147299826145,620,150.0,93000,376.35588824,955,985598,0.0017374120652675629,-259.63336181640625
97,0.02851877361536026,624,150.0,93600,376.75560690000003,961,986798,0.0017616497352719307,-259.12432861328125
97,0.025081027299165726,628,150.0,94200,377.27890568,967,987998,0.0017448891885578632,-259.3934631347656
97,0.02608511410653591,632,150.0,94800,377.49043957999993,973,989198,0.0017313013086095452,-259.0730895996094
97,0.02768189273774624,636,150.0,95400,377.82320981,980,990398,0.001707285176962614,-259.4268798828125
97,0.027771661058068275,640,150.0,96000,378.09396103,986,991598,0.001735622645355761,-259.3235168457031
97,0.022221101447939873,644,150.0,96600,378.44661457,992,992798,0.00170815153978765,-259.51446533203125
97,0.024963852018117905,648,150.0,97200,378.28557286999995,998,993998,0.0016909739933907986,-259.35614013671875
97,0.02354712225496769,652,150.0,97800,378.36926772999993,1004,995198,0.0016571381129324436,-259.1089782714844
97,0.023676399141550064,656,150.0,98400,378.33969899,1010,996398,0.0016316658584401011,-259.26483154296875
97,0.027413005009293556,660,150.0,99000,378.35118239999997,1016,997598,0.0016451094998046756,-259.18548583984375
97,0.025447124615311623,664,150.0,99600,378.2612367,1022,998798,0.001651749829761684,-259.1832275390625
97,0.02676459029316902,668,150.0,100200,378.30049758,1029,999998,0.0016359928995370865,-259.26397705078125
97,0.02476254478096962,672,150.0,100800,378.3255434,1035,1001198,0.0016541111981496215,-259.638916015625
97,0.02519158087670803,676,150.0,101400,378.229211,1041,1002398,0.0016210238682106137,-259.5073547363281
97,0.03011634200811386,680,150.0,102000,378.45404913,1047,1003598,0.0016387238865718246,-259.0907287597656
97,0.02697744593024254,684,150.0,102600,378.90372033999995,1053,1004798,0.0016975849866867065,-258.92474365234375
97,0.025070495903491974,688,150.0,103200,379.00456019000006,1059,1005998,0.0016743812011554837,-259.34466552734375
97,0.02411736361682415,692,150.0,103800,378.9728036800001,1065,1007198,0.0016885858494788408,-259.4879455566406
97,0.027635175734758377,696,150.0,104400,378.85983218,1072,1008398,0.0016859107417985797,-259.25152587890625
97,0.02622918225824833,700,150.0,105000,379.08836642,1078,1009598,0.0017029871232807636,-259.14630126953125
97,0.027157722041010857,704,150.0,105600,379.00821114000007,1084,1010798,0.0016428730450570583,-259.55126953125
97,0.02600201591849327,708,150.0,106200,379.06125834000005,1090,1011998,0.0016305831959471107,-259.4772033691406
97,0.021234985440969467,712,150.0,106800,379.30677310999994,1096,1013198,0.0016064259689301252,-259.5
97,0.026867898181080818,716,150.0,107400,379.70773275,1103,1014398,0.0016242850106209517,-259.3113098144531
97,0.030301865190267563,720,150.0,108000,380.03445425999996,1109,1015598,0.0016084149247035384,-259.17974853515625
97,0.029355289414525032,724,150.0,108600,379.67689644,1115,1016798,0.0015999998431652784,-259.35113525390625
97,0.021001819521188736,728,150.0,109200,379.37330018,1121,1017998,0.0015921873273327947,-259.2703552246094
97,0.025546709075570107,732,150.0,109800,379.26080669999993,1127,1019198,0.001606210833415389,-259.50836181640625
97,0.032020945101976395,736,150.0,110400,378.94774631,1133,1020398,0.0016549585852771997,-259.01995849609375
97,0.026221197098493576,740,150.0,111000,378.6563910000001,1139,1021598,0.0017074714414775372,-259.52874755859375
97,0.03106781654059887,744,150.0,111600,378.48956606,1145,1022798,0.00168029114138335,-259.2541198730469
97,0.02352191135287285,748,150.0,112200,378.38338817999994,1152,1023998,0.0016357932472601533,-259.62237548828125
97,0.028612768277525902,752,150.0,112800,378.31576394,1158,1025198,0.00160991121083498,-259.578125
97,0.02897263877093792,756,150.0,113400,378.41263349,1164,1026398,0.001610199105925858,-259.60870361328125
97,0.025373445823788643,760,150.0,114000,378.59546566999995,1170,1027598,0.0016252263449132442,-259.3946228027344
97,0.026264924556016922,764,150.0,114600,378.69037568999994,1176,1028798,0.0016308018239215016,-259.18310546875
97,0.026455435901880264,768,150.0,115200,378.48752422999996,1182,1029998,0.0016340874135494232,-259.0894775390625
97,0.029060032218694687,772,150.0,115800,378.3431241,1189,1031198,0.0016399325104430318,-259.2256774902344
97,0.029261743649840355,776,150.0,116400,378.6383611999999,1195,1032398,0.0016527046682313085,-259.169921875
97,0.0264618881046772,780,150.0,117000,378.80750817999996,1202,1033598,0.001653476501815021,-259.0968017578125
97,0.021227968856692314,784,150.0,117600,378.71269900000004,1208,1034798,0.0016314355889335275,-259.67578125
97,0.026439441367983818,788,150.0,118200,379.06736898,1214,1035998,0.0016164658591151237,-259.42242431640625
97,0.027210867032408714,792,150.0,118800,379.6849973500001,1220,1037198,0.0016045733354985714,-259.1247863769531
97,0.026089532300829887,796,150.0,119400,379.79309418,1226,1038398,0.0016052789287641644,-259.546875
97,0.029446212574839592,800,150.0,120000,380.23351514,1233,1039598,0.0015952209942042828,-259.3057861328125
97,0.020816707983613014,804,150.0,120600,380.50594927,1239,1040798,0.001604063087143004,-259.4993896484375
97,0.026789236813783646,808,150.0,121200,380.6717215500001,1245,1041998,0.0015915072290226817,-258.95953369140625
97,0.022390225902199745,812,150.0,121800,380.5108188900001,1251,1043198,0.0015853004297241569,-259.4749450683594
97,0.022176949307322502,816,150.0,122400,380.78838921000005,1257,1044398,0.0015747563447803259,-259.35260009765625
97,0.02237020991742611,820,150.0,123000,381.1323121700001,1263,1045598,0.0015928290085867047,-259.48797607421875
97,0.026089362800121307,824,150.0,123600,381.79268464,1270,1046798,0.001602141303010285,-259.5137939453125
97,0.026882506906986237,828,150.0,124200,382.2375663700001,1276,1047998,0.0016197820659726858,-259.6178894042969
97,0.02453736774623394,832,150.0,124800,382.75456588000003,1282,1049198,0.0016026608645915985,-259.5423583984375
97,0.02290615625679493,836,150.0,125400,383.46642621,1288,1050398,0.0015882300212979317,-259.8438415527344
97,0.026062048971652985,840,150.0,126000,383.87167028,1294,1051598,0.001587425940670073,-259.731689453125
97,0.024279829114675522,844,150.0,126600,384.10076925999994,1300,1052798,0.001575953676365316,-259.77716064453125
97,0.024835307151079178,848,150.0,127200,384.29761456,1306,1053998,0.0015762520488351583,-259.51861572265625
97,0.028992237523198128,852,150.0,127800,384.48394178999996,1312,1055198,0.001570635475218296,-259.4514465332031
97,0.024246113374829292,856,150.0,128400,384.39308446,1318,1056398,0.0015391993802040815,-259.80084228515625
97,0.02447095327079296,860,150.0,129000,384.3528283399999,1324,1057598,0.0015326306456699967,-259.7515869140625
97,0.024381324648857117,864,150.0,129600,384.29719137000006,1330,1058798,0.0015293433098122478,-259.78564453125
97,0.027213267982006073,868,150.0,130200,384.49529198,1337,1059998,0.0015366693260148168,-259.7178955078125
97,0.02108634077012539,872,150.0,130800,384.6153934599999,1343,1061198,0.0015384488506242633,-259.84344482421875
97,0.020960822701454163,876,150.0,131400,384.50046048999997,1349,1062398,0.0015334567287936807,-259.8396301269531
97,0.02488292008638382,880,150.0,132000,384.66175201,1355,1063598,0.0015371933113783598,-259.641357421875
97,0.02224179357290268,884,150.0,132600,384.79130619999995,1361,1064798,0.0015302251558750868,-259.7405700683594
97,0.030455587431788445,888,150.0,133200,384.86773780000004,1367,1065998,0.0015746173448860645,-259.71783447265625
97,0.026165449991822243,892,150.0,133800,384.68238528,1373,1067198,0.0015826725866645575,-259.4361572265625
97,0.02170429192483425,896,150.0,134400,384.74097597,1380,1068398,0.001575921312905848,-259.6053466796875
97,0.027537155896425247,900,150.0,135000,384.56814569,1386,1069598,0.001574465655721724,-259.82550048828125
97,0.02592404931783676,904,150.0,135600,384.72767739000005,1392,1070798,0.0015571885742247105,-259.7622985839844
97,0.02235734649002552,908,150.0,136200,384.66989838000006,1398,1071998,0.0015761017566546798,-260.0523376464844
97,0.02519148215651512,912,150.0,136800,384.93579680999994,1404,1073198,0.0015619300538673997,-259.7848205566406
97,0.02158486843109131,916,150.0,137400,384.65896717000004,1411,1074398,0.0015449526254087687,-259.96929931640625
97,0.022509928792715073,920,150.0,138000,384.4420429799999,1417,1075598,0.0015459650894626975,-259.7144775390625
97,0.02260269969701767,924,150.0,138600,384.33708959999996,1423,1076798,0.0015289437724277377,-259.9085998535156
97,0.022377347573637962,928,150.0,139200,384.51805783,1429,1077998,0.0015304251573979855,-259.9079284667969
97,0.02208459936082363,932,150.0,139800,384.40992171,1436,1079198,0.0015499170403927565,-259.6686096191406
97,0.023471618071198463,936,150.0,140400,384.25140343999993,1442,1080398,0.0015229416312649846,-260.0890197753906
97,0.02129535935819149,940,150.0,141000,384.46057849,1448,1081598,0.0015271389856934547,-259.98309326171875
97,0.025084931403398514,944,150.0,141600,384.30008440999995,1454,1082798,0.0015110610984265804,-259.9191589355469
97,0.02222849614918232,948,150.0,142200,384.67671606,1460,1083998,0.0015220856294035912,-259.7208251953125
97,0.020555220544338226,952,150.0,142800,384.74073589,1466,1085198,0.0015215000603348017,-260.082763671875
97,0.02216939628124237,956,150.0,143400,384.77363403000004,1472,1086398,0.0015053624520078301,-260.10894775390625
97,0.023721860721707344,960,150.0,144000,384.61723667999985,1478,1087598,0.001486311899498105,-259.8216552734375
97,0.020791519433259964,964,150.0,144600,384.77740542999993,1484,1088798,0.0014881259994581342,-259.8704833984375
97,0.023396162316203117,968,150.0,145200,384.72713094000005,1490,1089998,0.0014700099127367139,-259.7867126464844
97,0.024379538372159004,972,150.0,145800,384.54970468000016,1496,1091198,0.0014945481671020389,-259.9715881347656
97,0.023544421419501305,976,150.0,146400,384.64777872999997,1503,1092398,0.0014901980757713318,-259.9687194824219
97,0.022947339341044426,980,150.0,147000,384.76591411000004,1509,1093598,0.001490561873652041,-259.94580078125
97,0.02179998718202114,984,150.0,147600,384.86232285,1515,1094798,0.0014516579685732722,-260.0061950683594
97,0.023261530324816704,988,150.0,148200,384.71835308000004,1521,1095998,0.0014730192488059402,-260.15740966796875
97,0.021624553948640823,992,150.0,148800,384.80508591,1527,1097198,0.0014604930765926838,-260.1565856933594
97,0.019738713279366493,996,150.0,149400,385.11089368,1533,1098398,0.0014720860635861754,-260.1170654296875
97,0.02187742106616497,1000,150.0,150000,385.09670230000006,1540,1099598,0.0014586305478587747,-260.15582275390625
97,0.02270686998963356,1004,150.0,150600,384.88545299,1546,1100798,0.001447451300919056,-260.1055908203125
97,0.025318002328276634,1008,150.0,151200,384.69324354,1552,1101998,0.0014243259793147445,-260.10791015625
97,0.02009783871471882,1012,150.0,151800,384.3946645799999,1558,1103198,0.0014036132488399744,-259.99554443359375
97,0.021330762654542923,1016,150.0,152400,384.49831193000006,1564,1104398,0.001438174513168633,-259.8642578125
97,0.023040754720568657,1020,150.0,153000,384.6311909700001,1570,1105598,0.0014258602168411016,-260.0020751953125
97,0.0212068110704422,1024,150.0,153600,384.60569492,1576,1106798,0.0014159391866996884,-260.220947265625
97,0.02120559848845005,1028,150.0,154200,384.23636077000003,1583,1107998,0.0014524334110319614,-260.07379150390625
97,0.02234402485191822,1032,150.0,154800,384.09760750000004,1589,1109198,0.001432805322110653,-259.9988708496094
97,0.020068977028131485,1036,150.0,155400,383.89789591,1595,1110398,0.0014420103980228305,-260.1280212402344
97,0.02607199363410473,1040,150.0,156000,383.74074345,1601,1111598,0.0014944006688892841,-260.06982421875
97,0.01907585933804512,1044,150.0,156600,383.70632275,1608,1112798,0.0014958058018237352,-260.2590026855469
97,0.026546536013484,1048,150.0,157200,383.63114348999994,1614,1113998,0.0014546014135703444,-260.05426025390625
97,0.02171834371984005,1052,150.0,157800,383.6478791200001,1620,1115198,0.001455074641853571,-260.0267028808594
