time/episodes,train/n_updates,time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss
84,24998,12600,0.05552922934293747,196.16239445238097,137,91,-552.6856689453125,150.0,0.03932483121752739
88,26198,13200,0.04877959191799164,202.12331551136364,143,92,-539.6630859375,150.0,0.052582867443561554
92,27398,13800,0.042880214750766754,208.2618007717391,149,92,-526.9853515625,150.0,0.04908011481165886
96,28598,14400,0.03771603852510452,213.88542349999997,154,92,-514.268310546875,150.0,0.048004116863012314
100,29798,15000,0.03320040926337242,219.58004368,160,93,-501.7848815917969,150.0,0.04869018495082855
104,30998,15600,0.029246438294649124,232.65164238,167,93,-489.6717529296875,150.0,0.04914494976401329
108,32198,16200,0.025780120864510536,246.48314173999995,173,93,-477.9842834472656,150.0,0.049278486520051956
112,33398,16800,0.02276633493602276,259.15426079,178,93,-466.63055419921875,150.0,0.05285860225558281
116,34598,17400,0.020137401297688484,271.59882532,184,94,-456.0477294921875,150.0,0.047051750123500824
120,35798,18000,0.017827725037932396,282.93880949000004,190,94,-445.97320556640625,150.0,0.053247325122356415
124,36998,18600,0.015792425721883774,293.8251713,196,94,-436.4175720214844,150.0,0.04870465025305748
128,38198,19200,0.01402324065566063,303.31784913,202,94,-427.5641784667969,150.0,0.05486925691366196
132,39398,19800,0.012462600134313107,313.2340079899999,208,94,-419.63616943359375,150.0,0.054722946137189865
136,40598,20400,0.011089752428233624,321.39611281,214,95,-411.9402770996094,150.0,0.05080628767609596
140,41798,21000,0.009880423545837402,329.70655639000006,220,95,-404.79412841796875,150.0,0.04809708893299103
144,42998,21600,0.008822654373943806,337.12740880999996,226,95,-398.29205322265625,150.0,0.04964390769600868
148,44198,22200,0.007890954613685608,344.33407788999995,232,95,-392.658447265625,150.0,0.045771218836307526
152,45398,22800,0.007069056387990713,350.48918756,238,95,-387.01971435546875,150.0,0.044997502118349075
156,46598,23400,0.006350581534206867,356.74050135,244,95,-382.2115478515625,150.0,0.04175961762666702
160,47798,24000,0.005708074662834406,362.2470163,250,95,-377.359619140625,150.0,0.04247437044978142
164,48998,24600,0.005136297084391117,367.86038642999983,257,95,-373.1322021484375,150.0,0.04675730690360069
168,50198,25200,0.004646450746804476,373.25816249999997,263,95,-369.45489501953125,150.0,0.04626397788524628
172,51398,25800,0.004211476072669029,378.31993056000005,269,95,-365.8495178222656,150.0,0.0406770184636116
176,52598,26400,0.0038356222212314606,382.51132830999995,275,95,-362.7818908691406,150.0,0.0381317064166069
180,53798,27000,0.003516332246363163,387.09457785,281,95,-359.5230712890625,150.0,0.04210514575242996
184,54998,27600,0.0032176077365875244,391.45535033,287,95,-356.571044921875,150.0,0.03820152208209038
188,56198,28200,0.0029854639433324337,394.97634486999993,293,95,-353.927978515625,150.0,0.044099073857069016
192,57398,28800,0.0028052700217813253,398.56456455,299,96,-351.56195068359375,150.0,0.04852161556482315
196,58598,29400,0.0027035993989557028,402.17768257000006,305,96,-349.6231384277344,150.0,0.04864025115966797
200,59798,30000,0.0026064212433993816,405.37935099000003,312,96,-347.7357177734375,150.0,0.04825081303715706
204,60998,30600,0.002532803686335683,408.14979291,318,96,-345.9114990234375,150.0,0.042659662663936615
208,62198,31200,0.002512894570827484,411.02263421,324,96,-344.22662353515625,150.0,0.04173760116100311
212,63398,31800,0.0025459453463554382,413.31348764,330,96,-342.84661865234375,150.0,0.045738428831100464
216,64598,32400,0.002557208063080907,415.62407830999996,336,96,-341.419189453125,150.0,0.04785006493330002
220,65798,33000,0.002599806757643819,418.00131242,342,96,-340.3079528808594,150.0,0.05263660103082657
224,66998,33600,0.0025281354319304228,420.2281626199999,348,96,-339.581298828125,150.0,0.04174557328224182
228,68198,34200,0.0025124642997980118,422.49195660999993,354,96,-338.10791015625,150.0,0.046966858208179474
232,69398,34800,0.002552880672737956,424.6632925999999,359,96,-337.1566162109375,150.0,0.050205934792757034
236,70598,35400,0.0025753446388989687,427.46426848000004,365,96,-336.30609130859375,150.0,0.04454617202281952
240,71798,36000,0.0026652526576071978,429.76382483000015,371,96,-335.36248779296875,150.0,0.04785316810011864
244,72998,36600,0.002687659580260515,431.6529555600001,377,96,-334.8904724121094,150.0,0.044911593198776245
248,74198,37200,0.002714262343943119,433.3393838699999,383,97,-334.44512939453125,150.0,0.050039712339639664
252,75398,37800,0.0028108377009630203,435.45230061000007,389,97,-334.00531005859375,150.0,0.04635585844516754
256,76598,38400,0.0027203692588955164,437.11609821999997,394,97,-333.8234558105469,150.0,0.04961766302585602
260,77798,39000,0.00271902559325099,438.4524296,400,97,-333.32696533203125,150.0,0.048217352479696274
264,78998,39600,0.002688660519197583,439.44720829000005,407,97,-332.59814453125,150.0,0.048473868519067764
268,80198,40200,0.0027036741375923157,440.10877564,413,97,-332.41497802734375,150.0,0.05485447868704796
272,81398,40800,0.00272790202870965,440.68883754,419,97,-332.10894775390625,150.0,0.05474031716585159
276,82598,41400,0.0026624593883752823,441.18604784,425,97,-332.0492858886719,150.0,0.05905891954898834
280,83798,42000,0.002608246635645628,441.85602021000005,431,97,-331.9217529296875,150.0,0.05707582086324692
284,84998,42600,0.0026395844761282206,442.58724923999995,437,97,-331.59722900390625,150.0,0.05686371028423309
288,86198,43200,0.002712442073971033,444.2902664899999,443,97,-331.44873046875,150.0,0.0652032196521759
292,87398,43800,0.002828638069331646,444.9305465299999,449,97,-331.2170104980469,150.0,0.0618424154818058
296,88598,44400,0.002788431476801634,444.9628611599998,455,97,-331.405517578125,150.0,0.062132809311151505
300,89798,45000,0.002648669993504882,445.8649475700001,461,97,-331.37835693359375,150.0,0.05626784637570381
304,90998,45600,0.0026761905755847692,446.83375178,467,97,-331.9449462890625,150.0,0.053654707968235016
308,92198,46200,0.0026413395535200834,447.1395155899999,473,97,-331.8072509765625,150.0,0.05688451603055
312,93398,46800,0.002723437501117587,447.92403277000005,479,97,-332.2109375,150.0,0.05997225642204285
316,94598,47400,0.0026734359562397003,448.0981996100001,485,97,-331.697265625,150.0,0.05645667761564255
320,95798,48000,0.0026969360187649727,448.6816681799999,491,97,-332.00018310546875,150.0,0.05530897527933121
324,96998,48600,0.0027520896401256323,449.10547039,497,97,-332.5921630859375,150.0,0.05610156059265137
328,98198,49200,0.002760456409305334,449.55657619000004,503,97,-332.37554931640625,150.0,0.055614132434129715
332,99398,49800,0.0027472723741084337,449.9835425499999,509,97,-332.3771667480469,150.0,0.06083758920431137
336,100598,50400,0.002615890232846141,449.7394583900001,515,97,-332.2748107910156,150.0,0.059030842036008835
340,101798,51000,0.0027407773304730654,449.4923240400001,521,97,-332.3285827636719,150.0,0.06087552383542061
344,102998,51600,0.0027852568309754133,449.42853670000005,527,97,-332.7030029296875,150.0,0.054062310606241226
348,104198,52200,0.002730504609644413,449.52364313,534,97,-332.42340087890625,150.0,0.05604281276464462
352,105398,52800,0.0027135971467942,449.70977401000005,540,97,-332.2349853515625,150.0,0.05687444284558296
356,106598,53400,0.00273323617875576,449.83688405999993,546,97,-332.5693359375,150.0,0.05147267505526543
360,107798,54000,0.002696248237043619,450.83985472,552,97,-332.1680908203125,150.0,0.05623885616660118
364,108998,54600,0.0026920409873127937,451.21773877,558,97,-332.4845886230469,150.0,0.05845289304852486
368,110198,55200,0.00261789676733315,451.82621542999993,564,97,-332.2837829589844,150.0,0.052040573209524155
372,111398,55800,0.002574356272816658,452.79322895999996,571,97,-332.327880859375,150.0,0.050049763172864914
376,112598,56400,0.002643491607159376,453.9773043799999,577,97,-332.15484619140625,150.0,0.05466506630182266
380,113798,57000,0.0026209643110632896,454.67858103000003,583,97,-332.4748229980469,150.0,0.05909256637096405
384,114998,57600,0.002590272342786193,455.35759383,589,97,-332.1448059082031,150.0,0.051276132464408875
388,116198,58200,0.0025433439295738935,455.64848173999997,595,97,-331.9882507324219,150.0,0.05234038084745407
392,117398,58800,0.0025581680238246918,456.1333476,601,97,-332.0242004394531,150.0,0.04833871126174927
396,118598,59400,0.0025997150223702192,457.4845576900001,607,97,-332.12103271484375,150.0,0.056449826806783676
400,119798,60000,0.0025506806559860706,457.94561338000005,613,97,-331.6659851074219,150.0,0.051444195210933685
404,120998,60600,0.002535755978897214,458.17860827,619,97,-332.2803649902344,150.0,0.05597468465566635
408,122198,61200,0.0025903750211000443,458.68642444,625,97,-331.89898681640625,150.0,0.04881349951028824
412,123398,61800,0.002611421048641205,459.1184551900001,631,97,-332.1849365234375,150.0,0.048448532819747925
416,124598,62400,0.0025890683755278587,459.7981011299999,637,97,-332.04345703125,150.0,0.05028984323143959
420,125798,63000,0.002611045027151704,460.32874510999994,643,97,-332.0888671875,150.0,0.05080906301736832
424,126998,63600,0.0026321790646761656,460.62816088000005,649,97,-332.3398132324219,150.0,0.04728316143155098
428,128198,64200,0.002569973934441805,461.0906953900001,655,97,-331.7893981933594,150.0,0.04791005700826645
