train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,train/actor_loss,train/ent_coef,rollout/ep_len_mean,time/episodes
800798,276.977324,67,8,600,0.030247511342167854,-335.24835205078125,0.0012694206088781357,150.0,4
801998,303.89141225,80,14,1200,0.025563843548297882,-330.6325378417969,0.0015442469157278538,150.0,8
803198,312.7728501666667,86,20,1800,0.030977988615632057,-326.6903381347656,0.001811352209188044,150.0,12
804398,318.411691,89,26,2400,0.02696247398853302,-322.279052734375,0.0020720569882541895,150.0,16
805598,325.9061594,91,32,3000,0.021960793063044548,-318.91888427734375,0.002282793167978525,150.0,20
806798,328.38719275,92,38,3600,0.02032511867582798,-315.0819396972656,0.0023645821493119,150.0,24
807998,329.42790575,93,44,4200,0.023915842175483704,-311.2427978515625,0.0023994448129087687,150.0,28
809198,330.09392549999995,94,50,4800,0.023722795769572258,-308.1248779296875,0.0024438253603875637,150.0,32
810398,331.10061494444443,95,56,5400,0.030105751007795334,-305.4122619628906,0.002710513072088361,150.0,36
811598,333.219153475,96,62,6000,0.02931825816631317,-302.7780456542969,0.0024891134817153215,150.0,40
812798,333.4171365681818,97,67,6600,0.0499122217297554,-300.08599853515625,0.002576858038082719,150.0,44
813998,334.31810987499995,97,73,7200,0.030041759833693504,-298.0269470214844,0.002539342502132058,150.0,48
815198,335.5226546538461,97,79,7800,0.029137348756194115,-295.4448547363281,0.002555407816544175,150.0,52
816398,336.26721694642856,98,85,8400,0.03579901531338692,-293.0994873046875,0.0025025440845638514,150.0,56
817598,337.29636039999997,98,91,9000,0.036339789628982544,-291.22650146484375,0.002746734069660306,150.0,60
818798,338.072228328125,98,97,9600,0.030460719019174576,-289.3936462402344,0.0026155810337513685,150.0,64
819998,338.94303454411755,98,103,10200,0.03571271151304245,-288.1622619628906,0.0026233475655317307,150.0,68
821198,339.9210400694444,98,109,10800,0.034276332706213,-286.34283447265625,0.00251971953548491,150.0,72
822398,340.4921993421053,98,115,11400,0.02866378426551819,-284.6590270996094,0.002451921347528696,150.0,76
823598,341.0239748375,98,121,12000,0.026741379871964455,-283.50018310546875,0.002482918556779623,150.0,80
